Number	SOMAmer SeqID	Analyte	UniProt ID
981	4294-16_2	Sphingosine kinase 1	Q9NYA1
982	4468-21_2	Sphingosine kinase 2	Q9NRA0
983	4297-62_3	Spondin-1	Q9HCB6
984	3399-31_2	Stabilin-2	Q8WWQ8
985	4930-21_1	Stanniocalcin-1	P52823
986	4500-50_2	Stem Cell Growth Factor-alpha	Q9Y240
987	2966-65_2	Stem Cell Growth Factor-beta	Q9Y240
988	5489-18_3	Stress-induced-phosphoprotein 1	P31948
989	3516-60_2	Stromal cell-derived factor 1	P48061
990	2788-55_1	Stromelysin-1	P08254
991	3743-1_2	Stromelysin-2	P09238
992	2877-3_1	SUMO-conjugating enzyme UBC9	P63279
993	2794-60_2	Superoxide dismutase [Cu-Zn]	P00441
994	5008-51_1	Superoxide dismutase [Mn], mitochondrial	P04179
995	3766-51_4	Syntaxin-1A	Q16623
996	3232-28_2	Tartrate-resistant acid phosphatase type 5	P13686
997	2875-15_2	TATA-box-binding protein	P20226
998	3143-3_1	T-cell surface glycoprotein CD4	P01730
999	4155-3_2	Tenascin	P24821
1000	2672-60_1	Teratocarcinoma-derived growth factor 1	P13385
1001	5490-53_3	Testican-1	Q08629
1002	5491-12_3	Testican-2	Q92563
1003	5133-17_3	TGF-beta receptor type-2	P37173
1004	4815-25_3	Thioredoxin domain-containing protein 12	O95881
1005	4157-2_1	Thrombin	P00734
1006	3473-78_2	Thrombopoietin Receptor	P40238
1007	3474-19_2	Thrombospondin-1	P07996
1008	3339-33_1	Thrombospondin-2	P35442
1009	3340-53_1	Thrombospondin-4	P35443
1010	3010-53_2	Thymic stromal lymphopoietin	Q969D9
1011	4301-58_2	Thymidine kinase, cytosolic	P04183
1012	5035-7_1	Thymidylate synthase	P04818
1013	4165-2_1	Thyroglobulin	P01266
1014	3873-51_2	Thyroid peroxidase	P07202
1015	3521-16_2	Thyroid Stimulating Hormone	P01215, P01222
1016	2706-69_2	Thyroxine-Binding Globulin	P05543
1017	4931-59_1	Tissue Factor	P13726
1018	3336-50_1	Tissue factor pathway inhibitor	P10646
1019	2212-69_1	Tissue-type plasminogen activator	P00750
1020	2603-61_2	T-lymphocyte activation antigen CD80	P33681
1021	5337-64_3	T-lymphocyte activation antigen CD86	P42081
1022	3324-51_1	T-lymphocyte surface antigen Ly-9	Q9HBG7
1023	3835-11_2	Toll-like receptor 2	O60603
1024	3647-49_4	Toll-like receptor 4:Lymphocyte antigen 96 complex	O00206  Q9Y6Y9  
1025	5384-67_3	Transcription factor IIIB 90 kDa subunit	Q92994
1026	3009-3_2	Transforming growth factor beta receptor type 3	Q03167
1027	2333-72_1	Transforming growth factor beta-1	P01137
1028	4156-74_1	Transforming growth factor beta-2	P61812
1029	3520-58_1	Transforming growth factor beta-3	P10600
1030	3283-21_1	Transforming growth factor-beta-induced protein ig-h3	Q15582
1031	4306-4_2	Transketolase	P29401
1032	3872-2_1	Translationally-controlled tumor protein	P13693
1033	5080-131_3	Transmembrane glycoprotein NMB	Q14956
1034	4721-54_2	Trefoil factor 3	Q07654
1035	4309-59_3	Triosephosphate isomerase	P60174
1036	5033-27_1	Tropomyosin alpha-1 chain	P09493
1037	4472-5_2	Tropomyosin beta chain	P07951
1038	5441-67_3	Troponin I, cardiac muscle	P19429
1039	5440-26_3	Troponin I, fast skeletal muscle	P48788
1040	3049-61_2	Trypsin-1	P07477
1041	5034-79_1	Trypsin-2	P07478
1042	3479-71_2	Trypsin-3	P35030
1043	3403-1_2	Tryptase beta-2	P20231
1044	3404-51_2	Tryptase gamma	Q9NRR2
1045	3722-49_2	Tumor necrosis factor	P01375
1046	2917-3_2	Tumor necrosis factor ligand superfamily member 11	O14788
1047	2484-49_3	Tumor necrosis factor ligand superfamily member 12	O43508
1048	3059-50_2	Tumor necrosis factor ligand superfamily member 13B	Q9Y275
1049	5355-69_3	Tumor necrosis factor ligand superfamily member 14	O43557
1050	2968-61_1	Tumor necrosis factor ligand superfamily member 15	O95150
1051	2708-54_2	Tumor necrosis factor ligand superfamily member 18	Q9UNG2
1052	2839-2_1	Tumor necrosis factor ligand superfamily member 4	P23510
1053	3052-8_2	Tumor necrosis factor ligand superfamily member 6, soluble form	P48023
1054	3421-54_2	Tumor necrosis factor ligand superfamily member 8	P32971
1055	2599-51_2	Tumor necrosis factor ligand superfamily member 9	P41273
1056	4832-75_2	Tumor necrosis factor receptor superfamily member 10A	O00220
1057	5424-55_3	Tumor necrosis factor receptor superfamily member 11A	Q9Y6Q6
1058	2526-53_3	Tumor necrosis factor receptor superfamily member 11B	O00300
1059	5138-50_3	Tumor necrosis factor receptor superfamily member 12A	Q9NP84
1060	2704-74_1	Tumor necrosis factor receptor superfamily member 13B	O14836
1061	5383-14_3	Tumor necrosis factor receptor superfamily member 13C	Q96RJ3
1062	5352-11_3	Tumor necrosis factor receptor superfamily member 14	Q92956
1063	2665-26_2	Tumor necrosis factor receptor superfamily member 17	Q02223
1064	5079-11_3	Tumor necrosis factor receptor superfamily member 18	Q9Y5U5
1065	5131-15_3	Tumor necrosis factor receptor superfamily member 19	Q9NS68
1066	5115-31_3	Tumor necrosis factor receptor superfamily member 19L	Q969Z4
1067	2654-19_1	Tumor necrosis factor receptor superfamily member 1A	P19438
1068	3152-57_1	Tumor necrosis factor receptor superfamily member 1B	P20333
1069	5404-53_3	Tumor necrosis factor receptor superfamily member 21	O75509
1070	5073-30_2	Tumor necrosis factor receptor superfamily member 25	Q93038
1071	3083-71_1	Tumor necrosis factor receptor superfamily member 27	Q9HAV5
1072	2636-10_2	Tumor necrosis factor receptor superfamily member 3	P36941
1073	3730-81_2	Tumor necrosis factor receptor superfamily member 4	P43489
1074	5070-76_3	Tumor necrosis factor receptor superfamily member 6B	O95407
1075	2605-49_2	Tumor necrosis factor receptor superfamily member 8	P28908
1076	2598-9_3	Tumor necrosis factor receptor superfamily member 9	Q07011
1077	2977-7_2	Tumor necrosis factor receptor superfamily member EDAR	Q9UNE0
1078	5036-50_1	Tumor necrosis factor-inducible gene 6 protein	P98066
1079	2619-72_2	Tumor-associated calcium signal transducer 2	P09758
1080	3341-33_4	Tyrosine-protein kinase ABL1	P00519
1081	3416-2_2	Tyrosine-protein kinase BTK	Q06187
1082	3363-31_4	Tyrosine-protein kinase CSK	P41240
1083	4220-39_2	Tyrosine-protein kinase Fer	P16591
1084	3810-50_2	Tyrosine-protein kinase Fgr	P09769
1085	3813-3_2	Tyrosine-protein kinase Fyn	P06241
1086	3374-49_2	Tyrosine-protein kinase HCK	P08631
1087	4998-50_1	Tyrosine-protein kinase JAK2	O60674
1088	3452-17_2	Tyrosine-protein kinase Lck	P06239
1089	3453-87_2	Tyrosine-protein kinase Lyn	P07948
1090	3381-24_2	Tyrosine-protein kinase Lyn, isoform B	P07948
1091	2844-53_2	Tyrosine-protein kinase receptor Tie-1, soluble	P35590
1092	2611-72_2	Tyrosine-protein kinase receptor TYRO3	Q06418
1093	3646-7_4	Tyrosine-protein kinase Tec	P42680
1094	2590-69_4	Tyrosine-protein kinase transmembrane receptor ROR1	Q01973
1095	2878-66_2	Tyrosine-protein kinase Yes	P07947
1096	4476-22_2	Tyrosine-protein kinase ZAP-70	P43403
1097	3005-5_2	Tyrosine-protein phosphatase non-receptor type 1	P18031
1098	3397-7_4	Tyrosine-protein phosphatase non-receptor type 11	Q06124
1099	3401-8_2	Tyrosine-protein phosphatase non-receptor type 2	P17706
1100	4318-12_3	Tyrosine-protein phosphatase non-receptor type 6	P29350
1101	4474-19_2	Ubiquitin	P62979
1102	5019-16_2	Ubiquitin carboxyl-terminal hydrolase isozyme L1	P09936
1103	2846-24_2	Ubiquitin+1, truncated mutation for UbB	P62979
1104	3874-8_1	Ubiquitin-conjugating enzyme E2 L3	P68036
1105	3905-62_1	Ubiquitin-conjugating enzyme E2 N	P61088
1106	3836-51_2	Ubiquitin-fold modifier 1	P61960
1107	3405-6_2	Ubiquitin-fold modifier-conjugating enzyme 1	Q9Y3C8
1108	4786-58_3	UMP-CMP kinase	P30085
1109	2652-15_1	Urokinase plasminogen activator surface receptor	Q03405
1110	4158-54_2	Urokinase-type plasminogen activator	P00749
1111	4209-60_2	Vacuolar protein sorting-associated protein VTA1 homolog	Q9NP79
1112	2967-8_1	Vascular cell adhesion protein 1	P19320
1113	2597-8_3	Vascular endothelial growth factor A	P15692
1114	4867-15_2	Vascular endothelial growth factor A, isoform 121	P15692
1115	3132-1_1	Vascular endothelial growth factor C	P49767
1116	3651-50_5	Vascular endothelial growth factor receptor 2	P35968
1117	2358-19_2	Vascular endothelial growth factor receptor 3	P35916
1118	3522-57_1	Vasoactive Intestinal Peptide	P01282
1119	2961-1_2	Vitamin K-dependent protein C	P04070
1120	2700-56_2	Vitamin K-dependent protein S	P07225
1121	3050-7_2	von Willebrand factor	P04275
1122	4569-52_2	VPS10 domain-containing receptor SorCS2	Q96PQ0
1123	3191-50_2	WAP, kazal, immunoglobulin, kunitz and NTR domain-containing protein 1	Q96NZ8
1124	3235-50_2	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2	Q8TEU8
1125	2848-2_2	Wnt inhibitory factor 1	Q9Y5W5
1126	3057-55_1	WNT1-inducible-signaling pathway protein 1	O95388
1127	3481-87_1	Xaa-Pro aminopeptidase 1	Q9NQW7
1128	5082-51_3	X-linked interleukin-1 receptor accessory protein-like 2	Q9NP60
1129	2835-1_4	X-ray repair cross-complementing protein 6	P12956
