Number	SOMAmer SeqID	Analyte Name	UniProt ID
980	9216-100_3	Plexin-B2	O15031
981	4564-2_2	Plexin-C1	O60486
982	3216-2_2	Polymeric immunoglobulin receptor	P01833
983	6641-60_3	PolyUbiquitin K48-linked	P0CG47
984	6647-55_3	PolyUbiquitin K63-linked	P0CG48
985	4271-75_2	Prefoldin subunit 5	Q99471
986	5060-62_3	Programmed cell death 1 ligand 1	Q9NZQ7
987	3004-67_2	Programmed cell death 1 ligand 2	Q9BQ51
988	2247-20_11	Prokineticin-1	P58294
989	2585-2_5	Prolactin	P01236
990	5114-65_3	Prolactin receptor	P16471
991	2915-6_2	Proliferating cell nuclear antigen	P12004
992	4258-15_2	Proliferation-associated protein 2G4	Q9UQ80
993	5029-3_1	Prolyl endopeptidase FAP	Q12884
994	9204-33_3	Pro-opiomelanocortin	P01189
995	2960-66_2	Properdin	P27918
996	4459-68_2	Proprotein convertase subtilisin/kexin type 7	Q16549
997	5231-79_3	Proprotein convertase subtilisin/kexin type 9	Q8NBP7
998	3761-4_2	Prostaglandin G/H synthase 2	P35354
999	8468-19_3	Prostate-specific antigen	P07288
1000	5918-5_3	Proteasome activator complex subunit 1	Q06323
1001	5204-13_3	Proteasome activator complex subunit 3	P61289
1002	3859-50_2	Proteasome subunit alpha type-1	P25786
1003	4280-47_2	Proteasome subunit alpha type-2	P25787
1004	3860-7_2	Proteasome subunit alpha type-6	P60900
1005	4706-17_2	Protein 4.1	P11171
1006	4322-28_3	Protein amnionless	Q9BXJ7
1007	5016-61_2	Protein deglycase DJ-1	Q99497
1008	4278-14_3	Protein disulfide-isomerase	P07237
1009	4719-58_2	Protein disulfide-isomerase A3	P30101
1010	2623-54_4	Protein E7_HPV16	P03129
1011	2624-31_2	Protein E7_HPV18	P06788
1012	2760-2_2	Protein FAM107A	O95990
1013	4774-62_3	Protein FAM107B	Q9H098
1014	9177-6_3	Protein FAM3B	P58499
1015	13102-1_3	Protein FAM3D	Q96BQ1
1016	5092-51_3	Protein jagged-1	P78504
1017	5093-47_3	Protein jagged-2	Q9Y219
1018	2644-11_2	Protein kinase C alpha type	P17252
1019	5475-10_3	Protein kinase C beta type (splice variant beta-II)	P05771
1020	2869-68_3	Protein kinase C delta type	Q05655
1021	5476-66_3	Protein kinase C gamma type	P05129
1022	3379-29_1	Protein kinase C iota type	P41743
1023	3817-18_1	Protein kinase C theta type	Q04759
1024	2645-54_1	Protein kinase C zeta type	Q05513
1025	4238-4_2	Protein lin-7 homolog B	Q9HAP6
1026	2737-22_2	Protein NOV homolog	P48745
1027	2769-3_2	Protein Rev_HV2BE	P18093
1028	5852-6_3	Protein S100-A12	P80511
1029	14116-129_3	Protein S100-A4	P26447
1030	13090-17_3	Protein S100-A6	P06703
1031	5921-58_3	Protein S100-A7	P31151
1032	5339-49_3	Protein S100-A9	P06702
1033	5364-7_3	Protein SET	Q01105
1034	4889-82_1	Protein Wnt-7a	O00755
1035	13119-26_3	Protein Z-dependent protease inhibitor	Q9UK55
1036	4471-50_2	Protein-glutamine gamma-glutamyltransferase E	Q08188
1037	3832-51_1	Protein-tyrosine kinase 6	Q13882
1038	5316-54_3	Prothrombin	P00734
1039	3220-40_2	Proto-oncogene tyrosine-protein kinase receptor Ret	P07949
1040	5488-74_3	Proto-oncogene tyrosine-protein kinase Src	P12931
1041	5275-28_2	Proto-oncogene vav	P15498
1042	4154-57_2	P-selectin	P16109
1043	4414-69_2	Pulmonary surfactant-associated protein D	P35247
1044	11098-1_3	Pyridoxal kinase	O00764
1045	3897-61_1	Pyridoxal phosphate phosphatase	Q96GD0
1046	4240-31_2	Pyruvate kinase PKM	P14618
1047	9207-60_3	Quinone oxidoreductase-like protein 1	O95825
1048	2647-66_2	Rab GDP dissociation inhibitor beta	P50395
1049	3392-68_2	RAC-alpha/beta/gamma serine/threonine-protein kinase	P31749 P31751 Q9Y243
1050	5360-9_2	RAC-beta serine/threonine-protein kinase	P31751
1051	5481-16_3	Ras GTPase-activating protein 1	P20936
1052	2870-29_2	Ras-related C3 botulinum toxin substrate 1	P63000
1053	5271-5_1	Ras-related C3 botulinum toxin substrate 3	P60763
1054	2616-23_18	Receptor tyrosine-protein kinase erbB-2	P04626
1055	2617-56_35	Receptor tyrosine-protein kinase erbB-3	P21860
1056	2618-10_2	Receptor tyrosine-protein kinase erbB-4	Q15303
1057	3437-80_3	Receptor-type tyrosine-protein kinase FLT3	P36888
1058	11102-22_3	Regenerating islet-derived protein 4	Q9BYZ8
1059	14135-3_3	Relaxin receptor 1	Q9HBX9
1060	3396-54_2	Renin	P00797
1061	5483-1_3	Repulsive guidance molecule A	Q96B86
1062	3046-31_1	Resistin	Q9HD89
1063	5118-74_2	Reticulon-4	Q9NQC3
1064	5105-2_3	Reticulon-4 receptor	Q9BZR6
1065	5024-67_1	Retinoblastoma-associated protein	P06400
1066	3079-62_2	Retinoic acid receptor responder protein 2	Q99969
1067	5482-61_3	Retinol-binding protein 4	P02753
1068	3331-8_1	RGM domain family member B	Q6NW40
1069	8470-213_3	Ribonuclease H1	O60930
1070	3469-74_1	Ribosomal protein S6 kinase alpha-3	P51812
1071	3865-53_1	Ribosomal protein S6 kinase alpha-5	O75582
1072	3866-7_2	Ribosome maturation protein SBDS	Q9Y3A5
1073	4284-18_3	RNA-binding protein 39	Q14498
1074	5116-62_2	Roundabout homolog 2	Q9HCK4
1075	5117-14_3	Roundabout homolog 3	Q96MS0
1076	4566-24_3	R-spondin-2	Q6UXX9
1077	13094-75_3	R-spondin-3	Q9BXY4
1078	8464-31_3	R-spondin-4	Q2I0M5
1079	5129-12_3	Scavenger receptor class F member 1	Q14162
1080	5130-67_3	Scavenger receptor class F member 2	Q96GP6
1081	5028-59_1	Scavenger receptor cysteine-rich type 1 protein M130	Q86VB7
1082	13101-60_3	Sclerostin	Q9BQB4
1083	13093-6_3	Secreted and transmembrane protein 1	Q8WVN6
1084	3221-54_1	Secreted frizzled-related protein 1	Q8N474
1085	2841-13_2	Secreted frizzled-related protein 3	Q92765
1086	3728-52_2	Secretin	P09683
1087	3867-49_1	Seizure 6-like protein 2	Q6UXD5
1088	3222-11_2	Semaphorin-3A	Q14563
1089	5363-51_3	Semaphorin-3E	O15041
1090	13132-14_3	Semaphorin-5A	Q13591
1091	5122-92_2	Semaphorin-6A	Q9H2E6
1092	5121-3_2	Semaphorin-6B	Q9H3T3
1093	3624-3_4	Serine protease 27	Q9BQR3
1094	3317-33_1	Serine protease HTRA2, mitochondrial	O43464
1095	3471-49_1	Serine/threonine-protein kinase 16	O75716
1096	5249-31_3	Serine/threonine-protein kinase 17B	O94768
1097	2853-68_2	Serine/threonine-protein kinase Chk1	O14757
1098	3360-50_4	Serine/threonine-protein kinase Chk2	O96017
1099	3629-60_4	Serine/threonine-protein kinase MRCK beta	Q9Y5S2
1100	3387-1_2	Serine/threonine-protein kinase PAK 3	O75914
1101	3827-22_1	Serine/threonine-protein kinase PAK 6	Q9NQU5
1102	3388-58_2	Serine/threonine-protein kinase PAK 7	Q9P286
1103	5359-65_3	Serine/threonine-protein kinase pim-1	P11309
1104	3394-81_2	Serine/threonine-protein kinase PLK1	P53350
1105	2969-11_1	Serine/threonine-protein kinase receptor R3	P37023
1106	3400-49_2	Serine/threonine-protein kinase TBK1	Q9UHD2
1107	5493-17_3	Serine/threonine-protein kinase WNK3	Q9BYP7
1108	4162-54_2	Serotransferrin	P02787
1109	3707-12_2	Serum albumin	P02768
1110	4336-2_1	Serum amyloid A-1 protein	P0DJI8
1111	2474-54_5	Serum amyloid P-component	P02743
1112	4261-55_2	Serum paraoxonase/arylesterase 1	P27169
1113	4929-55_1	Sex hormone-binding globulin	P04278
1114	4984-83_1	S-formylglutathione hydrolase	P10768
1115	4567-82_2	SH2 domain-containing protein 1A	O60880
1116	5272-55_2	SHC-transforming protein 1	P29353
1117	5125-6_3	Sialic acid-binding Ig-like lectin 14	Q08ET2
1118	2741-22_2	Sialic acid-binding Ig-like lectin 6	O43699
1119	2742-68_2	Sialic acid-binding Ig-like lectin 7	Q9Y286
1120	3007-7_2	Sialic acid-binding Ig-like lectin 9	Q9Y336
1121	4464-10_2	Sialoadhesin	Q9BZZ2
1122	10370-21_3	Signal transducer and activator of transcription 1-alpha/beta	P42224
1123	10346-5_3	Signal transducer and activator of transcription 3	P40763
1124	10372-18_3	Signal transducer and activator of transcription 6	P42226
1125	3642-4_1	SLAM family member 5	Q9UIB8
1126	5128-53_3	SLAM family member 6	Q96DU3
1127	5487-7_3	SLAM family member 7	Q9NQ25
1128	3643-90_2	SLIT and NTRK-like protein 1	Q96PX8
1129	4568-17_2	SLIT and NTRK-like protein 5	O94991
1130	3868-8_1	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	O43765
1131	5494-52_3	Small nuclear ribonucleoprotein F	P62306
1132	9169-14_3	Small ubiquitin-related modifier 3	P55854
1133	5957-30_3	Somatostatin-28	P61278
1134	8462-18_3	Somatotropin	P01241
1135	2743-5_2	Sonic hedgehog protein	Q15465
1136	3903-49_2	Sorting nexin-4	O95219
1137	3043-49_2	SPARC	P09486
1138	4467-49_2	SPARC-like protein 1	Q14515
1139	13118-5_3	SPARC-related modular calcium-binding protein 1	Q9H4F8
1140	5031-10_1	Spectrin alpha chain, non-erythrocytic 1	Q13813
1141	3902-21_2	S-phase kinase-associated protein 1	P63208
1142	4294-16_2	Sphingosine kinase 1	Q9NYA1
1143	4468-21_2	Sphingosine kinase 2	Q9NRA0
1144	4297-62_3	Spondin-1	Q9HCB6
1145	3399-31_2	Stabilin-2	Q8WWQ8
1146	4930-21_1	Stanniocalcin-1	P52823
1147	4500-50_2	Stem cell growth factor-alpha	Q9Y240
1148	2966-65_2	Stem Cell Growth Factor-beta	Q9Y240
1149	5489-18_3	Stress-induced-phosphoprotein 1	P31948
1150	3516-60_2	Stromal cell-derived factor 1	P48061
1151	2788-55_1	Stromelysin-1	P08254
1152	8479-4_3	Stromelysin-2	P09238
1153	2877-3_1	SUMO-conjugating enzyme UBC9	P63279
1154	2794-60_2	Superoxide dismutase [Cu-Zn]	P00441
1155	5008-51_1	Superoxide dismutase [Mn], mitochondrial	P04179
1156	13105-7_3	Synaptosomal-associated protein 25	P60880
1157	3766-51_4	Syntaxin-1A	Q16623
1158	3232-28_2	Tartrate-resistant acid phosphatase type 5	P13686
1159	2875-15_2	TATA-box-binding protein	P20226
1160	3143-3_1	T-cell surface glycoprotein CD4	P01730
1161	4155-3_2	Tenascin	P24821
1162	5810-25_3	Teratocarcinoma-derived growth factor 1	P13385
1163	5490-53_3	Testican-1	Q08629
1164	5491-12_3	Testican-2	Q92563
1165	5133-17_3	TGF-beta receptor type-2	P37173
1166	4815-25_3	Thioredoxin domain-containing protein 12	O95881
1167	4157-2_1	Thrombin	P00734
1168	5947-90_3	Thrombopoietin	P40225
1169	3473-78_2	Thrombopoietin Receptor	P40238
1170	3474-19_2	Thrombospondin-1	P07996
1171	3339-33_1	Thrombospondin-2	P35442
1172	3340-53_1	Thrombospondin-4	P35443
1173	3010-53_2	Thymic stromal lymphopoietin	Q969D9
1174	4301-58_2	Thymidine kinase, cytosolic	P04183
1175	5035-7_1	Thymidylate synthase	P04818
1176	4165-2_1	Thyroglobulin	P01266
1177	3873-51_2	Thyroid peroxidase	P07202
1178	3521-16_2	Thyroid Stimulating Hormone	P01215 P01222
1179	2706-69_2	Thyroxine-binding globulin	P05543
1180	4931-59_1	Tissue Factor	P13726
1181	3336-50_1	Tissue factor pathway inhibitor	P10646
1182	2212-69_1	Tissue-type plasminogen activator	P00750
1183	2603-61_2	T-lymphocyte activation antigen CD80	P33681
1184	5337-64_3	T-lymphocyte activation antigen CD86	P42081
1185	3324-51_1	T-lymphocyte surface antigen Ly-9	Q9HBG7
1186	3835-11_2	Toll-like receptor 2	O60603
1187	11101-18_3	Toll-like receptor 4	O00206
1188	3647-49_4	Toll-like receptor 4:Lymphocyte antigen 96 complex	O00206  Q9Y6Y9
1189	10356-21_3	Transcription factor AP-1	P05412
1190	5384-67_3	Transcription factor IIIB 90 kDa subunit	Q92994
1191	3009-3_2	Transforming growth factor beta receptor type 3	Q03167
1192	2333-72_1	Transforming growth factor beta-1	P01137
1193	4156-74_1	Transforming growth factor beta-2	P61812
1194	3520-58_1	Transforming growth factor beta-3	P10600
1195	3283-21_1	Transforming growth factor-beta-induced protein ig-h3	Q15582
1196	9201-13_3	Transgelin-2	P37802
1197	4306-4_2	Transketolase	P29401
1198	3872-2_1	Translationally-controlled tumor protein	P13693
1199	5080-131_3	Transmembrane glycoprotein NMB	Q14956
1200	9185-15_3	Trefoil factor 1	P04155
1201	9191-8_3	Trefoil factor 2	Q03403
1202	4721-54_2	Trefoil factor 3	Q07654
1203	4309-59_3	Triosephosphate isomerase	P60174
1204	5033-27_1	Tropomyosin alpha-1 chain	P09493
1205	7660-21_3	Tropomyosin alpha-4 chain	P67936
1206	4472-5_2	Tropomyosin beta chain	P07951
1207	5441-67_3	Troponin I, cardiac muscle	P19429
1208	5440-26_3	Troponin I, fast skeletal muscle	P48788
1209	5315-22_3	Troponin T, cardiac muscle	P45379
1210	3049-61_2	Trypsin-1	P07477
1211	5034-79_1	Trypsin-2	P07478
1212	3479-71_2	Trypsin-3	P35030
1213	3403-1_2	Tryptase beta-2	P20231
1214	3404-51_2	Tryptase gamma	Q9NRR2
1215	5936-53_3	Tumor necrosis factor	P01375
1216	2917-3_2	Tumor necrosis factor ligand superfamily member 11	O14788
1217	5939-42_3	Tumor necrosis factor ligand superfamily member 12	O43508
1218	3059-50_2	Tumor necrosis factor ligand superfamily member 13B	Q9Y275
1219	5355-69_3	Tumor necrosis factor ligand superfamily member 14	O43557
1220	2968-61_1	Tumor necrosis factor ligand superfamily member 15	O95150
1221	2708-54_2	Tumor necrosis factor ligand superfamily member 18	Q9UNG2
1222	2839-2_1	Tumor necrosis factor ligand superfamily member 4	P23510
1223	3052-8_2	Tumor necrosis factor ligand superfamily member 6, soluble form	P48023
1224	3421-54_2	Tumor necrosis factor ligand superfamily member 8	P32971
1225	2599-51_2	Tumor necrosis factor ligand superfamily member 9	P41273
1226	4832-75_2	Tumor necrosis factor receptor superfamily member 10A	O00220
1227	5534-49_2	Tumor necrosis factor receptor superfamily member 10B	O14763
1228	14121-24_3	Tumor necrosis factor receptor superfamily member 10D	Q9UBN6
1229	5424-55_3	Tumor necrosis factor receptor superfamily member 11A	Q9Y6Q6
1230	2526-53_3	Tumor necrosis factor receptor superfamily member 11B	O00300
1231	5138-50_3	Tumor necrosis factor receptor superfamily member 12A	Q9NP84
1232	2704-74_1	Tumor necrosis factor receptor superfamily member 13B	O14836
1233	5383-14_3	Tumor necrosis factor receptor superfamily member 13C	Q96RJ3
1234	5352-11_3	Tumor necrosis factor receptor superfamily member 14	Q92956
1235	2665-26_2	Tumor necrosis factor receptor superfamily member 17	Q02223
1236	5526-53_3	Tumor necrosis factor receptor superfamily member 18	Q9Y5U5
1237	5131-15_3	Tumor necrosis factor receptor superfamily member 19	Q9NS68
1238	5115-31_3	Tumor necrosis factor receptor superfamily member 19L	Q969Z4
1239	2654-19_1	Tumor necrosis factor receptor superfamily member 1A	P19438
1240	3152-57_1	Tumor necrosis factor receptor superfamily member 1B	P20333
1241	5404-53_3	Tumor necrosis factor receptor superfamily member 21	O75509
1242	5073-30_2	Tumor necrosis factor receptor superfamily member 25	Q93038
1243	3083-71_1	Tumor necrosis factor receptor superfamily member 27	Q9HAV5
1244	2636-10_2	Tumor necrosis factor receptor superfamily member 3	P36941
1245	3730-81_2	Tumor necrosis factor receptor superfamily member 4	P43489
1246	5392-73_2	Tumor necrosis factor receptor superfamily member 6	P25445
1247	5070-76_3	Tumor necrosis factor receptor superfamily member 6B	O95407
1248	2605-49_2	Tumor necrosis factor receptor superfamily member 8	P28908
1249	2598-9_3	Tumor necrosis factor receptor superfamily member 9	Q07011
1250	2977-7_2	Tumor necrosis factor receptor superfamily member EDAR	Q9UNE0
1251	5036-50_1	Tumor necrosis factor-inducible gene 6 protein	P98066
1252	2619-72_2	Tumor-associated calcium signal transducer 2	P09758
1253	3341-33_4	Tyrosine-protein kinase ABL1	P00519
1254	3416-2_2	Tyrosine-protein kinase BTK	Q06187
1255	3363-31_4	Tyrosine-protein kinase CSK	P41240
1256	4220-39_2	Tyrosine-protein kinase Fer	P16591
1257	3810-50_2	Tyrosine-protein kinase Fgr	P09769
1258	3813-3_2	Tyrosine-protein kinase Fyn	P06241
1259	3374-49_2	Tyrosine-protein kinase HCK	P08631
1260	4998-50_2	Tyrosine-protein kinase JAK2	O60674
1261	3452-17_2	Tyrosine-protein kinase Lck	P06239
1262	3453-87_2	Tyrosine-protein kinase Lyn	P07948
1263	3381-24_2	Tyrosine-protein kinase Lyn, isoform B	P07948
1264	2844-53_2	Tyrosine-protein kinase receptor Tie-1, soluble	P35590
1265	2611-72_2	Tyrosine-protein kinase receptor TYRO3	Q06418
1266	3646-7_4	Tyrosine-protein kinase Tec	P42680
1267	8474-6_3	Tyrosine-protein kinase transmembrane receptor ROR1	Q01973
1268	2878-66_2	Tyrosine-protein kinase Yes	P07947
1269	4476-22_2	Tyrosine-protein kinase ZAP-70	P43403
1270	3005-5_2	Tyrosine-protein phosphatase non-receptor type 1	P18031
1271	3397-7_4	Tyrosine-protein phosphatase non-receptor type 11	Q06124
1272	3401-8_2	Tyrosine-protein phosphatase non-receptor type 2	P17706
1273	4318-12_3	Tyrosine-protein phosphatase non-receptor type 6	P29350
1274	5430-66_3	Tyrosine-protein phosphatase non-receptor type substrate 1	P78324
1275	4474-19_2	Ubiquitin	P62979
1276	9215-117_3	Ubiquitin carboxyl-terminal hydrolase 25	Q9UHP3
1277	5019-16_2	Ubiquitin carboxyl-terminal hydrolase isozyme L1	P09936
1278	2846-24_2	Ubiquitin+1, truncated mutation for UbB	P62979
1279	9199-6_3	Ubiquitin-conjugating enzyme E2 G2	P60604
1280	3874-8_1	Ubiquitin-conjugating enzyme E2 L3	P68036
1281	3905-62_1	Ubiquitin-conjugating enzyme E2 N	P61088
1282	3836-51_2	Ubiquitin-fold modifier 1	P61960
1283	3405-6_2	Ubiquitin-fold modifier-conjugating enzyme 1	Q9Y3C8
1284	14151-4_3	Ubiquitin-like protein ISG15	P05161
1285	4786-58_3	UMP-CMP kinase	P30085
1286	2652-15_1	Urokinase plasminogen activator surface receptor	Q03405
1287	4158-54_2	Urokinase-type plasminogen activator	P00749
1288	4209-60_2	Vacuolar protein sorting-associated protein VTA1 homolog	Q9NP79
1289	2967-8_1	Vascular cell adhesion protein 1	P19320
1290	2597-8_3	Vascular endothelial growth factor A	P15692
1291	4867-15_2	Vascular endothelial growth factor A, isoform 121	P15692
1292	3132-1_1	Vascular endothelial growth factor C	P49767
1293	13098-93_3	Vascular endothelial growth factor D	O43915
1294	3651-50_5	Vascular endothelial growth factor receptor 2	P35968
1295	2358-19_2	Vascular endothelial growth factor receptor 3	P35916
1296	3522-57_1	Vasoactive Intestinal Peptide	P01282
1297	7638-30_3	Vesicular integral-membrane protein VIP36	Q12907
1298	2961-1_2	Vitamin K-dependent protein C	P04070
1299	2700-56_2	Vitamin K-dependent protein S	P07225
1300	13125-45_3	Vitronectin	P04004
1301	3050-7_2	von Willebrand factor	P04275
1302	4569-52_2	VPS10 domain-containing receptor SorCS2	Q96PQ0
1303	3191-50_2	WAP, kazal, immunoglobulin, kunitz and NTR domain-containing protein 1	Q96NZ8
1304	3235-50_2	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2	Q8TEU8
1305	2848-2_2	Wnt inhibitory factor 1	Q9Y5W5
1306	3057-55_1	WNT1-inducible-signaling pathway protein 1	O95388
1307	5927-4_3	WNT1-inducible-signaling pathway protein 3	O95389
1308	3481-87_1	Xaa-Pro aminopeptidase 1	Q9NQW7
1309	5082-51_3	X-linked interleukin-1 receptor accessory protein-like 2	Q9NP60
1310	2835-1_4	X-ray repair cross-complementing protein 6	P12956
