Sequence ID	Full Name	Target Name	UniProt ID	Entrez Gene Name
31015-10	Protein phosphatase 1K, mitochondrial	PPM1K	Q8N3J5	PPM1K
31017-6	High affinity interleukin-8 receptor B	CXCR2	P25025	CXCR2
31018-53	MHC class II regulatory factor RFX1	RFX1	P22670	RFX1
31019-14	Guanylate cyclase soluble subunit beta-1	GCYB1	Q02153	GUCY1B1
31020-42	Transmembrane protein 173	TM173	Q86WV6	STING1
31022-45	Bystin	BYST	Q13895	BYSL
31023-101	Tyrosine-protein phosphatase non-receptor type 5	PTN5	P54829	PTPN5
31026-2	Non-structural maintenance of chromosomes element 4 homolog A	NSE4A	Q9NXX6	NSMCE4A
31027-1	Splicing factor 3B subunit 3	SF3B3	Q15393	SF3B3
31028-20	Deoxyribonuclease-2-alpha	DNS2A	O00115	DNASE2
31029-12	Rho GTPase-activating protein 17	RHG17	Q68EM7	ARHGAP17
31030-3	Probable ATP-dependent RNA helicase DDX4	DDX4	Q9NQI0	DDX4
31033-149	Pre-B-cell leukemia transcription factor 1	PBX1	P40424	PBX1
31035-50	Protein spire homolog 2	SPIR2	Q8WWL2	SPIRE2
31036-50	Disrupted in schizophrenia 1 protein	DISC1	Q9NRI5	DISC1
31037-11	Elongation factor 2	Elongation factor 2	P13639	EEF2
31038-22	Break repair meiotic recombinase recruitment factor 1	BRME1	Q0VDD7	BRME1
31040-1	MLD	MLD	O15121	DEGS1
31043-31	DNA (cytosine-5)-methyltransferase 3A	DNM3A	Q9Y6K1	DNMT3A
31044-1	Transcriptional regulator QRICH1	QRIC1	Q2TAL8	QRICH1
31045-18	10-formyltetrahydrofolate dehydrogenase	FTHFD	O75891	ALDH1L1
31046-6	Formin-like protein 1	FMNL1	O95466	FMNL1
31047-80	Pentatricopeptide repeat-containing protein 2, mitochondrial	PTCD2	Q8WV60	PTCD2
31051-2	Collagen alpha-1(XXI) chain	COLA1	Q96P44	COL21A1
31052-3	RNA-binding protein Musashi homolog 1	MSI1H	O43347	MSI1
31054-8	Forkhead box protein L1	FOXL1	Q12952	FOXL1
31057-153	2',5'-phosphodiesterase 12	PDE12	Q6L8Q7	PDE12
31059-5	Probable global transcription activator SNF2L1	SMCA1	P28370	SMARCA1
31063-1	Reticulon-4	RTN4	Q9NQC3	RTN4
31065-21	TRPM8 channel-associated factor 1	TCAF1	Q9Y4C2	TCAF1
31066-11	Rho GTPase-activating protein 27	RHG27	Q6ZUM4	ARHGAP27
31068-5	Cytochrome P450 2A6	CP2A6	P11509	CYP2A6
31069-3	Phosphatidylethanolamine N-methyltransferase	PEAMT	Q9UBM1	PEMT
31070-19	Ubiquitin carboxyl-terminal hydrolase 37	UBP37	Q86T82	USP37
31071-134	ATR-interacting protein	ATRIP	Q8WXE1	ATRIP
31072-7	Copper-transporting ATPase 2	ATP7B	P35670	ATP7B
31073-7	Transcription factor SOX-5	SOX5	P35711	SOX5
31075-65	Suppressor APC domain-containing protein 2	SAPC2	Q86UD0	SAPCD2
31076-91	Inner nuclear membrane protein Man1	MAN1	Q9Y2U8	LEMD3
31078-83	Neuron-specific protein family member 2	NSG2	Q9Y328	NSG2
31081-2	THUMP domain-containing protein 3	THUM3	Q9BV44	THUMPD3
31082-2	Endosome-associated-trafficking regulator 1	ENTR1	Q96C92	ENTR1
31084-12	Glucocorticoid modulatory element-binding protein 1	GMEB1	Q9Y692	GMEB1
31086-2	DNA replication licensing factor MCM3	MCM3	P25205	MCM3
31089-1	WD repeat-containing protein 1	WDR1	O75083	WDR1
31091-2	Four and a half LIM domains protein 2	FHL2	Q14192	FHL2
31092-12	Regulating synaptic membrane exocytosis protein 3	RIMS3	Q9UJD0	RIMS3
31094-3	Ribosomal protein S6 kinase alpha-5	RSK-like protein kinase	O75582	RPS6KA5
31099-85	Ribosomal RNA-processing protein 8	RRP8	O43159	RRP8
31104-15	Sodium/potassium-transporting ATPase subunit alpha-1	AT1A1	P05023	ATP1A1
31105-2	Serine/threonine-protein kinase TAO3	TAOK3	Q9H2K8	TAOK3
31106-18	Cdc42 effector protein 3	BORG2	Q9UKI2	CDC42EP3
31107-109	Plasminogen activator inhibitor 1 RNA-binding protein	PAIRB	Q8NC51	SERBP1
31108-44	Splicing factor 3A subunit 1	SF3A1	Q15459	SF3A1
31109-25	Kinesin-like protein KIF20A	KI20A	O95235	KIF20A
31111-21	Coiled-coil domain-containing protein 106	CC106	Q9BWC9	CCDC106
31112-38	E3 ubiquitin-protein ligase TRIM32	TRI32	Q13049	TRIM32
31113-12	Peroxisomal membrane protein 11C	PX11C	Q96HA9	PEX11G
31114-86	TNFAIP3-interacting protein 2	TNIP2	Q8NFZ5	TNIP2
31116-15	Rho family-interacting cell polarization regulator 2	RIPR2	Q9Y4F9	RIPOR2
31120-23	Nuclear receptor coactivator 4	NCOA4	Q13772	NCOA4
31121-3	DNA mismatch repair protein Mlh1	MLH1	P40692	MLH1
31123-13	Centrosomal protein of 72 kDa	CEP72	Q9P209	CEP72
31124-102	Epimerase family protein SDR39U1	D39U1	Q9NRG7	SDR39U1
31125-124	E3 ubiquitin-protein ligase KCMF1	KCMF1	Q9P0J7	KCMF1
31126-94	Eukaryotic translation initiation factor 3 subunit C	EIF3C	Q99613	EIF3C
31127-18	55 kDa erythrocyte membrane protein	EM55	Q00013	MPP1
31130-101	Ceroid-lipofuscinosis neuronal protein 6	CLN6	Q9NWW5	CLN6
31131-3	Protein Hook homolog 2	HOOK2	Q96ED9	HOOK2
31132-42	Histidine protein methyltransferase 1 homolog	MET18	O95568	METTL18
31138-3	Zinc finger matrin-type protein 3	ZMAT3	Q9HA38	ZMAT3
31139-6	E3 ubiquitin-protein ligase RNF213	RN213	Q63HN8	RNF213
31140-25	Melanoma-associated antigen H1	MAGH1	Q9H213	MAGEH1
31142-2	Protein LSM14 homolog A	LS14A	Q8ND56	LSM14A
31147-9	PolyUbiquitin K48-linked	PolyUbiquitin K48	P0CG47	UBB
31148-47	Integrin a11b1	Integrin a11b1	Q9UKX5 | P05556	ITGA11 | ITGB1
31149-2	Integrin alpha-E beta-7	Integrin aEb7	P38570 | P26010	ITGAE | ITGB7
3115-64	Mitogen-activated protein kinase 1	MK01	P28482	MAPK1
31150-22	Integrin alpha-10 beta-1	Integrin a10b1	P05556 | O75578	ITGB1 | ITGA10
31151-53	Integrin alpha-6/beta-1	Integrin a6b1	P23229 | P05556	ITGA6 | ITGB1
31157-3	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1	ENPP1	P22413	ENPP1
31160-11	Exostosin 1/2 Heterodimer Protein	EXT1/EXT2	Q16394 | Q93063	EXT1 | EXT2
31166-4	Galactocerebrosidase	GALC	P54803	GALC
31169-39	Uncharacterized protein C20orf75	CT075	Q8WUT4	LRRN4
31172-2	Leucine-rich repeat neuronal protein 2	LRRN2	O75325	LRRN2
31177-67	Matrix metalloproteinase-15	MMP-15	P51511	MMP15
31183-95	Interleukin-27	IL-27	Q8NEV9 | Q14213	IL27 | EBI3
31192-116	Pantothenate kinase 2, mitochondrial	PANK2	Q9BZ23	PANK2
31194-1	Cyclic AMP-dependent transcription factor ATF-4	ATF4	P18848	ATF4
31198-33	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2	NMNA2	Q9BZQ4	NMNAT2
31199-59	Monoglyceride lipase	MGLL	Q99685	MGLL
31200-12	CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase	SIAT6	Q11203	ST3GAL3
31201-47	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase	SIA4C	Q11206	ST3GAL4
3122-6	Diablo homolog, mitochondrial	SMAC	Q9NR28	DIABLO
31221-29	Krueppel-like factor 10	Krueppel-like factor 10	Q13118	KLF10
31223-13	REM2- and Rab-like small GTPase 1	RSG1	Q9BU20	CPLANE2
31227-3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	F262	O60825	PFKFB2
31228-37	Glutaminase liver isoform, mitochondrial	GLSL	Q9UI32	GLS2
31229-115	Uncharacterized protein C3orf62	CC062	Q6ZUJ4	C3orf62
31233-22	Basal body-orientation factor 1	BBOF1	Q8ND07	BBOF1
31236-3	Zinc finger protein 20	ZNF20	P17024	ZNF20
31248-5	Cytokeratin-6E	Keratin 6E	P48668	KRT6C
31252-43	Dipeptidyl peptidase 9	DPP9	Q86TI2	DPP9
31253-8	Puromycin-sensitive aminopeptidase	NPEPPS	P55786	NPEPPS
31256-426	Mesoderm posterior protein 1	MESP1	Q9BRJ9	MESP1
31257-107	Protein FAM167B	F167B	Q9BTA0	FAM167B
31260-6	G0S8	G0S8	P41220	RGS2
31261-73	UPF0489 protein C5orf22	CE022	Q49AR2	C5orf22
31262-9	Zinc finger protein 346	ZN346	Q9UL40	ZNF346
31263-178	HLA class II histocompatibility antigen, DO beta chain	2DOB	P13765	HLA-DOB
31265-252	Zinc finger protein 397	ZN397	Q8NF99	ZNF397
31266-119	RWD domain-containing protein 2A	RWD2A	Q9UIY3	RWDD2A
31267-34	Troponin I, slow skeletal muscle	TNNI1	P19237	TNNI1
31268-294	Gamma-butyrobetaine dioxygenase	BODG	O75936	BBOX1
31270-376	Protein ABHD8	ABHD8	Q96I13	ABHD8
31273-188	Sugar transporter SWEET1	SWET1	Q9BRV3	SLC50A1
31274-327	Methylthioribulose-1-phosphate dehydratase	MTNB	Q96GX9	APIP
31277-73	Chondrolectin	CHODL	Q9H9P2	CHODL
31278-93	Lin-28 homolog A	LN28A	Q9H9Z2	LIN28A
31280-57	Transmembrane protein 176A	T176A	Q96HP8	TMEM176A
31282-106	Phospholipid phosphatase 3	PLPP3	O14495	PLPP3
31284-196	Mitogen-activated protein kinase 7	MK07	Q13164	MAPK7
31285-63	Ketosamine-3-kinase	KT3K	Q9HA64	FN3KRP
31286-45	Uncharacterized protein C6orf136	CF136	Q5SQH8	C6orf136
31287-104	PC-esterase domain-containing protein 1B	PED1B	Q96HM7	PCED1B
31289-19	Seipin	BSCL2	Q96G97	BSCL2
31290-25	Treacle protein	TCOF	Q13428	TCOF1
31291-14	Kelch domain-containing protein 7B	KLD7B	Q96G42	KLHDC7B
31294-157	CTTNBP2 N-terminal-like protein	CT2NL	Q9P2B4	CTTNBP2NL
31296-315	Vasoactive intestinal polypeptide receptor 2	VIPR2	P41587	VIPR2
31299-40	Myb/SANT-like DNA-binding domain-containing protein 3	MSD3	Q96H12	MSANTD3
31300-48	Serine/threonine-protein kinase greatwall	GWL	Q96GX5	MASTL
31301-106	Vacuolar protein sorting-associated protein 33B	VP33B	Q9H267	VPS33B
31302-221	WD repeat-containing protein 61	WDR61	Q9GZS3	WDR61
31304-330	Melanoma-associated antigen F1	MAGF1	Q9HAY2	MAGEF1
31305-16	Surfeit locus protein 2	SURF2	Q15527	SURF2
31306-98	Diphosphoinositol polyphosphate phosphohydrolase 2	NUDT4	Q9NZJ9	NUDT4
31307-170	HSPB1-associated protein 1	HBAP1	Q96EW2	HSPBAP1
31308-136	Zinc finger protein with KRAB and SCAN domains 4	ZKSC4	Q969J2	ZKSCAN4
31310-238	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9	B3GN9	Q6UX72	B3GNT9
31311-32	Poly [ADP-ribose] polymerase 3	PARP3	Q9Y6F1	PARP3
31312-4	Solute carrier family 66 member 2	S66A2	Q8N2U9	SLC66A2
31313-132	Transcription factor 23	TCF23	Q7RTU1	TCF23
31314-7	EVI5-like protein	EVI5L	Q96CN4	EVI5L
31316-100	E3 ubiquitin-protein ligase TRIM4	TRIM4	Q9C037	TRIM4
31317-23	39S ribosomal protein L17, mitochondrial	RM17	Q9NRX2	MRPL17
31318-17	Lymphocyte cytosolic protein 2	LCP2	Q13094	LCP2
31319-26	F-box/WD repeat-containing protein 11	FBW1B	Q9UKB1	FBXW11
3132-1	Vascular endothelial growth factor C	VEGF-C	P49767	VEGFC
31320-178	Transmembrane protein 143	TM143	Q96AN5	TMEM143
31321-198	Neutral amino acid transporter A	SATT	P43007	SLC1A4
31322-363	Rap guanine nucleotide exchange factor 3	RPGF3	O95398	RAPGEF3
31323-55	Nucleoporin SEH1	SEH1	Q96EE3	SEH1L
31324-106	CDKN2A-interacting protein	Collaborator of ARF	Q9NXV6	CDKN2AIP
31325-66	Rho GTPase-activating protein 15	RHG15	Q53QZ3	ARHGAP15
31328-49	Acid sphingomyelinase-like phosphodiesterase 3b	ASM3B	Q92485	SMPDL3B
31329-74	Protein sprouty homolog 2	SPY2	O43597	SPRY2
31330-63	Solute carrier family 22 member 18	S22AI	Q96BI1	SLC22A18
31332-121	Retinol dehydrogenase 11	RDH11	Q8TC12	RDH11
31334-6	Cilium assembly protein DZIP1L	DZI1L	Q8IYY4	DZIP1L
31335-25	TBC1 domain family member 16	TBC16	Q8TBP0	TBC1D16
31336-196	Inositol-pentakisphosphate 2-kinase	IPPK	Q9H8X2	IPPK
31338-162	T-complex protein 1 subunit zeta-2	TCPW	Q92526	CCT6B
31339-58	Protein unc-50 homolog	UNC50	Q53HI1	UNC50
31340-149	Rap guanine nucleotide exchange factor 4	RPGF4	Q8WZA2	RAPGEF4
31341-120	RING finger protein 113B	R113B	Q8IZP6	RNF113B
31342-27	Probable ATP-dependent RNA helicase DHX40	DHX40	Q8IX18	DHX40
31343-21	Mitochondrial coenzyme A transporter SLC25A42	S2542	Q86VD7	SLC25A42
31345-15	Protein FAM9C	FAM9C	Q8IZT9	FAM9C
31346-14	Zinc finger CCHC-type and RNA-binding motif-containing protein 1	ZCRB1	Q8TBF4	ZCRB1
31348-318	Cilia- and flagella-associated protein 53	CFA53	Q96M91	CFAP53
31349-4	Adenylate kinase 9	KAD9	Q5TCS8	AK9
31352-2	Transmembrane protein 59	TMM59	Q9BXS4	TMEM59
31356-20	GA-binding protein subunit beta-2	GABP2	Q8TAK5	GABPB2
31358-6	Voltage-dependent calcium channel gamma-6 subunit	CCG6	Q9BXT2	CACNG6
31362-50	DNA-binding protein A	DBPA	P16989	YBX3
31363-370	Glycosylated lysosomal membrane protein	GLMP	Q8WWB7	GLMP
31365-22	DEP domain-containing protein 7	DEPD7	Q96QD5	DEPDC7
31366-379	Testis-expressed protein 11	TEX11	Q8IYF3	TEX11
31367-344	Guanylate cyclase soluble subunit alpha-3	GCYA3	Q02108	GUCY1A1
31369-332	ELMO domain-containing protein 1	ELMD1	Q8N336	ELMOD1
31370-76	Ankyrin repeat domain-containing protein 29	ANR29	Q8N6D5	ANKRD29
31371-30	Zinc finger CCHC domain-containing protein 24	ZCH24	Q8N2G6	ZCCHC24
31375-274	Chitobiosyldiphosphodolichol beta-mannosyltransferase	ALG1	Q9BT22	ALG1
31380-294	Cilia- and flagella-associated protein 299	CF299	Q6V702	CFAP299
31385-145	Protein FAM126B	F126B	Q8IXS8	FAM126B
31388-212	Coiled-coil domain-containing protein 109A	C109A	Q8NE86	MCU
31389-130	PML-RARA-regulated adapter molecule 1	PRAM	Q96QH2	PRAM1
31390-28	Protein phosphatase 1 regulatory subunit 17	PPR17	O96001	PPP1R17
31391-28	Acyl-CoA-binding domain-containing protein 5	ACBD5	Q5T8D3	ACBD5
31392-11	CUGBP Elav-like family member 5	CELF5	Q8N6W0	CELF5
31394-116	Zinc finger protein 606	ZN606	Q8WXB4	ZNF606
31395-164	Probable inactive peptidyl-prolyl cis-trans isomerase-like 6	PPIL6	Q8IXY8	PPIL6
31401-39	Coiled-coil domain-containing protein 82	CCD82	Q8N4S0	CCDC82
31402-63	Actin-like protein 7B	ACL7B	Q9Y614	ACTL7B
31403-18	Trafficking protein particle complex subunit 1	TPPC1	Q9Y5R8	TRAPPC1
31405-267	Apelin receptor	APJ	P35414	APLNR
31406-11	Zinc finger protein 200	ZN200	P98182	ZNF200
31407-59	Tubby-related protein 3	TULP3	O75386	TULP3
31408-16	E3 ubiquitin-protein ligase XIAP	XIAP	P98170	XIAP
31411-280	Cyclin-J-like protein	CCNJL	Q8IV13	CCNJL
31412-22	Fas-activated serine/threonine kinase	FASTK	Q14296	FASTK
31416-29	Receptor-type tyrosine-protein phosphatase epsilon	PTPRE	P23469	PTPRE
31417-225	E3 ubiquitin-protein ligase MARCHF3	MARH3	Q86UD3	MARCHF3
31418-43	SEC14 domain and spectrin repeat-containing protein 1	SESD1	Q86VW0	SESTD1
31419-92	Regulator of nonsense transcripts 1	RENT1	Q92900	UPF1
31423-243	Nurim	NRM	Q8IXM6	NRM
31426-44	TBC1 domain family member 26	TBC26	Q86UD7	TBC1D26
31427-4	UBX domain-containing protein 10	UBX10	Q96LJ8	UBXN10
31428-296	Phosphatidylinositol 4-kinase type 2-beta	P4K2B	Q8TCG2	PI4K2B
3143-3	T-cell surface glycoprotein CD4	sCD4	P01730	CD4
31430-106	DNA repair protein XRCC2	XRCC2	O43543	XRCC2
31433-86	ARL14 effector protein	AL14E	Q8N8R7	ARL14EP
31436-4	Rho GTPase-activating protein 9	RHG09	Q9BRR9	ARHGAP9
31440-109	Doublecortin domain-containing protein 2	DCDC2	Q9UHG0	DCDC2
31441-73	Uncharacterized protein C20orf103	CT103	Q9UJQ1	LAMP5
31443-348	tRNA (guanine(10)-N2)-methyltransferase homolog	TRM11	Q7Z4G4	TRMT11
31444-7	Inhibitor of nuclear factor kappa-B kinase-interacting protein	IKIP	Q70UQ0	IKBIP
31447-34	High mobility group protein B1	HMG-1	P09429	HMGB1
31454-23	HMG-1:Box A oxidized	HMG-1:Box A oxidized	P09429	HMGB1
3148-49	Gro-beta	Gro-b	P19875	CXCL2
31484-24	Diacylglycerol kinase delta	DGKD	Q16760	DGKD
31486-16	G-protein coupled receptor 157	GP157	Q5UAW9	GPR157
31488-26	Golgi to ER traffic protein 4 homolog	GET4	Q7L5D6	GET4
31490-11	Protocadherin beta-5	PCDB5	Q9Y5E4	PCDHB5
31492-46	Cell cycle and apoptosis regulator protein 2	CCAR2	Q8N163	CCAR2
31494-21	Cytosolic phospholipase A2 beta	PA24B	P0C869	PLA2G4B
31496-6	Mitogen-activated protein kinase kinase kinase 2	M3K2	Q9Y2U5	MAP3K2
31497-23	E3 ubiquitin-protein ligase SH3RF1	SH3R1	Q7Z6J0	SH3RF1
31498-3	Latent-transforming growth factor beta-binding protein 3	LTBP-3	Q9NS15	LTBP3
31499-3	Leucine-rich repeat flightless-interacting protein 1	LRRF1	Q32MZ4	LRRFIP1
31505-30	Aminopeptidase Q	AMPQ	Q6Q4G3	LVRN
31506-1	Microprocessor complex subunit DGCR8	DGCR8	Q8WYQ5	DGCR8
31507-28	Serine/threonine-protein kinase MST4	MST4	Q9P289	STK26
31508-85	Serine/threonine-protein kinase mTOR	FRAP	P42345	MTOR
31509-26	StAR-related lipid transfer protein 13	STA13	Q9Y3M8	STARD13
3151-6	Interleukin-2 receptor subunit alpha	IL-2 sRa	P01589	IL2RA
31511-41	Dedicator of cytokinesis protein 8	DOCK8	Q8NF50	DOCK8
31512-52	182 kDa tankyrase 1-binding protein	TB182	Q9C0C2	TNKS1BP1
31513-224	Protein transport protein Sec31B	SC31B	Q9NQW1	SEC31B
31515-81	Delphilin	GRD2I	A4D2P6	GRID2IP
31516-82	Protein sidekick-2	SDK2	Q58EX2	SDK2
31518-114	TELO2-interacting protein 1 homolog	TTI1	O43156	TTI1
3152-57	Tumor necrosis factor receptor superfamily member 1B	TNF sR-II	P20333	TNFRSF1B
31520-117	Receptor-type tyrosine-protein phosphatase beta	PTPRB	P23467	PTPRB
31521-5	Myosin-3	MYH3	P11055	MYH3
31523-30	All trans-polyprenyl-diphosphate synthase PDSS2	DLP1	Q86YH6	PDSS2
31524-5	Stromal cell-derived factor 1beta	SDF-1b	P48061	CXCL12
31528-56	CNTFR/CNTF Complex Protein	CNTFR/CNTF	P26992 | P26441	CNTFR | CNTF
31531-12	E3 ubiquitin-protein ligase RNF4	RNF4	P78317	RNF4
31534-2	PolyUbiquitin K48-linked	PolyUbiquitin K48	P0CG47	UBB
31541-27	Brain-derived neurotrophic factor	BDNF	P23560	BDNF
31546-1	Thyroid Stimulating Hormone	TSH	P01222 | P01215	TSHB | CGA
31552-7	Stromal cell-derived factor 1beta	SDF-1b	P48061	CXCL12
31553-5	IL-17/IL-17F	IL-17/ IL-17F	Q96PD4 | Q16552	IL17F | IL17A
31555-1	Complement C1q tumor necrosis factor-related protein 2	C1QT2	Q9BXJ5	C1QTNF2
31557-308	Transcription elongation factor A protein-like 9	TCAL9	Q9UHQ7	TCEAL9
31559-24	Homeobox protein Nkx-6.3	NKX63	A6NJ46	NKX6-3
31560-39	Histone H2A type 1-H	H2A1H	Q96KK5	H2AC12
31571-18	Reactive oxygen species modulator 1	ROMO1	P60602	ROMO1
31574-18	COX assembly mitochondrial protein homolog	COXM1	Q7Z7K0	CMC1
31577-13	Phorbol-12-myristate-13-acetate-induced protein 1	APR	Q13794	PMAIP1
31580-5	Potassium channel subfamily K member 4	KCNK4	Q9NYG8	KCNK4
31582-35	Kazrin	KAZRN	Q674X7	KAZN
31583-18	Myotubularin-related protein 12	MTMRC	Q9C0I1	MTMR12
31584-165	Transmembrane protein 184C	T184C	Q9NVA4	TMEM184C
31585-2	Homeobox protein SIX4	SIX4	Q9UIU6	SIX4
31587-33	Alanine--tRNA ligase, mitochondrial	SYAM	Q5JTZ9	AARS2
31588-279	Probable G-protein coupled receptor 149	GP149	Q86SP6	GPR149
31589-25	POU domain, class 6, transcription factor 2	PO6F2	P78424	POU6F2
31590-55	Guanine nucleotide-binding protein G(t) subunit alpha-3	GNAT3	A8MTJ3	GNAT3
31591-16	SULT 1A2*1	SULT 1A2*1	P50226	SULT1A2
31592-1	Striatin-4	STRN4	Q9NRL3	STRN4
31594-6	Serine/threonine-protein kinase VRK3	VRK3	Q8IV63	VRK3
31595-145	SEC14-like protein 3	S14L3	Q9UDX4	SEC14L3
31596-55	Transcription factor E2-alpha	TFE2	P15923	TCF3
31597-24	MORN repeat-containing protein 1	MORN1	Q5T089	MORN1
31598-17	Transcription factor MafF	MAFF	Q9ULX9	MAFF
31599-24	DnaJ homolog subfamily C member 9	DNJC9	Q8WXX5	DNAJC9
31600-7	Lysine-specific demethylase 3A	KDM3A	Q9Y4C1	KDM3A
31601-29	Radial spoke head protein 6 homolog A	RSH6A	Q9H0K4	RSPH6A
31602-15	UBX domain-containing protein 11	UBX11	Q5T124	UBXN11
31603-89	POU domain, class 4, transcription factor 2	PO4F2	Q12837	POU4F2
31604-68	Solute carrier family 25 member 33	S2533	Q9BSK2	SLC25A33
31606-239	Ras-associated and pleckstrin homology domains-containing protein 1	RAPH1	Q70E73	RAPH1
31607-94	UGT 1A3	UGT 1A3	P35503	UGT1A3
31608-334	Serine/threonine-protein kinase 32C	ST32C	Q86UX6	STK32C
31609-63	Late secretory pathway protein AVL9 homolog	AVL9	Q8NBF6	AVL9
31612-32	Clathrin light chain B	CLCB	P09497	CLTB
31613-27	WD repeat and HMG-box DNA-binding protein 1	WDHD1	O75717	WDHD1
31614-85	Homeobox protein DBX2	DBX2	Q6ZNG2	DBX2
31615-23	Transmembrane protein 80	TMM80	Q96HE8	TMEM80
31616-11	Leucine-rich repeat-containing protein 43	LRC43	Q8N309	LRRC43
31618-22	TBC1 domain family member 3	TBC3A	Q8IZP1	TBC1D3
31620-53	UBX domain-containing protein 6	UBXN6	Q9BZV1	UBXN6
31621-59	Phosphatidylinositol-glycan-specific phospholipase D	PHLD	P80108	GPLD1
31624-35	Protein CFAP276	CF276	Q5T5A4	CFAP276
31625-1	Wilms tumor protein 1-interacting protein	WTIP	A6NIX2	WTIP
31626-98	L-serine dehydratase/L-threonine deaminase	SDHL	P20132	SDS
31627-18	SH2 domain-containing adapter protein E	SHE	Q5VZ18	SHE
31629-25	Putative 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase	URAD	A6NGE7	URAD
31630-66	Uncharacterized protein C8orf58	CH058	Q8NAV2	C8orf58
31633-1	Transmembrane protein 91	TMM91	Q6ZNR0	TMEM91
31635-8	Protein OSCP1	OSCP1	Q8WVF1	OSCP1
31636-10	Putative L-aspartate dehydrogenase	ASPD	A6ND91	ASPDH
31638-54	Probable E3 ubiquitin-protein ligase HERC6	HERC6	Q8IVU3	HERC6
31639-79	Serine/threonine-protein kinase tousled-like 2	TLK2	Q86UE8	TLK2
31643-81	Envoplakin-like protein	EVPLL	A8MZ36	EVPLL
31644-17	Aspartate beta-hydroxylase domain-containing protein 1	ASPH1	Q5U4P2	ASPHD1
31645-8	Signal transducing adapter molecule 1	STAM1	Q92783	STAM
31646-54	Homologous recombination OB-fold protein	HROB	Q8N3J3	HROB
31649-2	Transmembrane protein 169	TM169	Q96HH4	TMEM169
31651-36	APC membrane recruitment protein 2	AMER2	Q8N7J2	AMER2
31652-53	Angiomotin-like protein 2	AMOL2	Q9Y2J4	AMOTL2
31653-112	Uncharacterized protein C7orf26	CG026	Q96N11	INTS15
31654-138	DNA polymerase kappa	POLK	Q9UBT6	POLK
31656-43	Ubiquitin domain-containing protein UBFD1	UBFD1	O14562	UBFD1
31657-15	Ras-related protein Rab-40A	RB40A	Q8WXH6	RAB40A
31658-19	Trafficking protein particle complex subunit 3-like protein	TPC3L	Q5T215	TRAPPC3L
31659-7	Eukaryotic peptide chain release factor subunit 1	ERF1	P62495	ETF1
3166-92	Myeloid cell surface antigen CD33	Siglec-3	P20138	CD33
31660-14	Dachshund homolog 2	DACH2	Q96NX9	DACH2
31664-253	DNA-binding protein RFXANK	RFXK	O14593	RFXANK
31665-5	G protein-regulated inducer of neurite outgrowth 2	GRIN2	O60269	GPRIN2
31668-45	Testis-specific Y-encoded protein 4	TSPY4	P0CV99	TSPY4
31669-124	Chaperonin containing TCP1, subunit 3	CCT3	P49368	CCT3
31670-11	FCH and double SH3 domains protein 2	FCSD2	O94868	FCHSD2
31671-14	Bcl-2-related proline-rich protein	B2L12	Q9HB09	BCL2L12
31675-22	Kelch-like protein 29	KLH29	Q96CT2	KLHL29
31676-52	Proline-rich basic protein 1	PROB1	E7EW31	PROB1
31677-21	Glyoxalase domain-containing protein 5	GLOD5	A6NK44	GLOD5
31678-14	Golgi-associated kinase 1A	GAK1A	Q9UFP1	GASK1A
31679-58	SH2B adapter protein 2	SH2B2	O14492	SH2B2
3168-8	A disintegrin and metalloproteinase with thrombospondin motifs 5	ADAMTS-5	Q9UNA0	ADAMTS5
31680-24	Protocadherin-20	PCD20	Q8N6Y1	PCDH20
31681-3	Junction-mediating and -regulatory protein	JMY	Q8N9B5	JMY
31683-149	Band 4.1-like protein 5	E41L5	Q9HCM4	EPB41L5
31684-12	Transmembrane protein 238	TM238	C9JI98	TMEM238
31685-49	HLA class II histocompatibility antigen, DQ beta 2 chain	DQB2	P05538	HLA-DQB2
31686-16	Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 2	SOLH2	Q9NX45	SOHLH2
31688-15	Transmembrane protein 208	TM208	Q9BTX3	TMEM208
31689-71	39S ribosomal protein L18, mitochondrial	RM18	Q9H0U6	MRPL18
3169-70	Alpha-L-iduronidase	IDUA	P35475	IDUA
31690-57	LIM and cysteine-rich domains protein 1	LMCD1	Q9NZU5	LMCD1
31691-49	Mitochondrial mRNA pseudouridine synthase TRUB2	TRUB2	O95900	TRUB2
31692-43	Gem-associated protein 8	GEMI8	Q9NWZ8	GEMIN8
31693-146	F-box/LRR-repeat protein 12	FXL12	Q9NXK8	FBXL12
31694-95	Synaptobrevin homolog YKT6	YKT6	O15498	YKT6
31695-141	KH domain-containing, RNA-binding, signal transduction-associated protein 1	KHDR1	Q07666	KHDRBS1
31696-7	GTP-binding protein Rheb	Rheb	Q15382	RHEB
31697-139	Proteasome subunit beta type 8	PSB8	P28062	PSMB8
3170-6	Methionine aminopeptidase 2	AMPM2	P50579	METAP2
