AptamerId	SomaId	Target	TargetFullName	UniProt	EntrezGeneID	EntrezGeneSymbol
4914-10	SL001766	HCG	Human Chorionic Gonadotropin	P01215 P01233	1081 1082	CGA CGB
3374-49	SL010499	HCK	Tyrosine-protein kinase HCK	P08631	3055	HCK
2859-69	SL004723	HDAC8	Histone deacetylase 8	Q9BY41	55869	HDAC8
4553-65	SL014009	HDGR2	Hepatoma-derived growth factor-related protein 2	Q7Z4V5	84717	HDGFRP2
2681-23	SL000441	HGF	Hepatocyte growth factor	P14210	3082	HGF
3617-80	SL006512	HGFA	Hepatocyte growth factor activator	Q04756	3083	HGFAC
3443-61	SL010523	HIPK3	Homeodomain-interacting protein kinase 3	Q9H422	10114	HIPK3
2769-3	SL000445	HIV-2 Rev	Protein Rev_HV2BE	P18093	1724716	Human-virus
2524-56	SL003280	HMG-1	High mobility group protein B1	P09429	3146	HMGB1
5230-99	SL016557	HMGR	3-hydroxy-3-methylglutaryl-coenzyme A reductase	P04035	3156	HMGCR
4224-7	SL007022	HNRPQ	Heterogeneous nuclear ribonucleoprotein Q	O60506	10492	SYNCRIP
2622-18	SL004751	HO-2	Heme oxygenase 2	P30519	3163	HMOX2
4995-16	SL003930	HPG-	15-hydroxyprostaglandin dehydrogenase [NAD(+)]	P15428	3248	HPGD
3196-6	SL008023	HPLN1	Hyaluronan and proteoglycan link protein 1	P10915	1404	HAPLN1
2623-54	SL004697	HPV E7 Type 16	Protein E7_HPV16	P03129	1489079	Human-virus
2624-31	SL004698	HPV E7 Type18	Protein E7_HPV18	P06788	1489089	Human-virus
4996-66	SL006448	HRG	Histidine-rich glycoprotein	P04196	3273	HRG
3852-19	SL000449	HSP 40	DnaJ homolog subfamily B member 1	P25685	3337	DNAJB1
2682-68	SL000450	HSP 60	60 kDa heat shock protein, mitochondrial	P10809	3329	HSPD1
4124-24	SL000451	HSP 70	Heat shock 70 kDa protein 1A	P0DMV8	3303	HSPA1A
2625-53	SL017612	HSP 90a/b	Heat shock protein HSP 90-alpha/beta	P07900 P08238	NA	HSP90AA1 HSP90AB1
3317-33	SL004860	HTRA2	Serine protease HTRA2, mitochondrial	O43464	27429	HTRA2
5352-11	SL004145	HVEM	Tumor necrosis factor receptor superfamily member 14	Q92956	8764	TNFRSF14
3054-3	SL000437	Haptoglobin, Mixed Type	Haptoglobin	P00738	3240	HP
2858-29	SL004725	Hat1	Histone acetyltransferase type B catalytic subunit	O14929	8520	HAT1
4915-64	SL000836	Hemoglobin	Hemoglobin	P69905 P68871	3039 3043	HBA1 HBB
2768-56	SL000440	Hemopexin	Hemopexin	P02790	3263	HPX
3316-58	SL004466	Heparin cofactor II	Heparin cofactor 2	P05546	3053	SERPIND1
2987-37	SL005256	Histone H1.2	Histone H1.2	P16403	3006	HIST1H1C
4163-5	SL002093	Histone H2A.z	Histone H2A.z	P0C0S5	3015	H2AFZ
2770-51	SL003176	I-309	C-C motif chemokine 1	P22362	6346	CCL1
3038-9	SL003326	I-TAC	C-X-C motif chemokine 11	O14625	6373	CXCL11
2988-57	SL005170	ICOS	Inducible T-cell costimulator	Q9Y6W8	29851	ICOS
3197-70	SL007122	IDE	Insulin-degrading enzyme	P14735	3416	IDE
3198-4	SL008639	IDS	Iduronate 2-sulfatase	P22304	3423	IDS
3169-70	SL010368	IDUA	Alpha-L-iduronidase	P35475	3425	IDUA
4997-19	SL011616	IF4A3	Eukaryotic initiation factor 4A-III	P38919	9775	EIF4A3
4230-1	SL011211	IF4G2	Eukaryotic translation initiation factor 4 gamma 2	P78344	1982	EIF4G2
3497-13	SL002075	IFN-aA	Interferon alpha-2	P01563	3440	IFNA2
4396-54	SL004348	IFN-lambda 1	Interferon lambda-1	Q8IU54	282618	IFNL1
4397-26	SL004349	IFN-lambda 2	Interferon lambda-2	Q8IZJ0	282616	IFNL2
2952-75	SL000047	IGF-I	Insulin-like growth factor I	P05019	3479	IGF1
4232-19	SL003304	IGF-I sR	Insulin-like growth factor 1 receptor	P08069	3480	IGF1R
3676-15	SL003679	IGF-II receptor	Cation-independent mannose-6-phosphate receptor	P11717	3482	IGF2R
2771-35	SL000462	IGFBP-1	Insulin-like growth factor-binding protein 1	P08833	3484	IGFBP1
2571-12	SL000045	IGFBP-3	Insulin-like growth factor-binding protein 3	P17936	3486	IGFBP3
2950-57	SL005171	IGFBP-4	Insulin-like growth factor-binding protein 4	P22692	3487	IGFBP4
2685-21	SL004676	IGFBP-5	Insulin-like growth factor-binding protein 5	P24593	3488	IGFBP5
2686-67	SL005172	IGFBP-6	Insulin-like growth factor-binding protein 6	P24592	3489	IGFBP6
3320-49	SL005087	IGFBP-7	Insulin-like growth factor-binding protein 7	Q16270	3490	IGFBP7
2630-12	SL004588	IL-1 R AcP	Interleukin-1 Receptor accessory protein	Q9NPH3	3556	IL1RAP
4234-8	SL004146	IL-1 R4	Interleukin-1 receptor-like 1	Q01638	9173	IL1RL1
5082-51	SL004849	IL-1 sR9	X-linked interleukin-1 receptor accessory protein-like 2	Q9NP60	26280	IL1RAPL2
2991-9	SL001997	IL-1 sRI	Interleukin-1 receptor type 1	P14778	3554	IL1R1
2773-50	SL001717	IL-10	Interleukin-10	P22301	3586	IL10
2631-50	SL004147	IL-10 Rb	Interleukin-10 receptor subunit beta	Q08334	3588	IL10RB
4493-92	SL000470	IL-11	Interleukin-11	P20809	3589	IL11
3815-14	SL007620	IL-12 RB2	Interleukin-12 receptor subunit beta-2	Q99665	3595	IL12RB2
2632-5	SL004148	IL-12 Rb1	Interleukin-12 receptor subunit beta-1	P42701	3594	IL12RB1
3072-4	SL001718	IL-13	Interleukin-13	P35225	3596	IL13
2633-52	SL004149	IL-13 Ra1	Interleukin-13 receptor subunit alpha-1	P78552	3597	IL13RA1
3445-53	SL004151	IL-15 Ra	Interleukin-15 receptor subunit alpha	Q13261	3601	IL15RA
2774-10	SL000474	IL-16	Interleukin-16	Q14005	3603	IL16
5468-67	SL011068	IL-17 RC	Interleukin-17 receptor C	Q8NAC3	84818	IL17RC
3376-49	SL010613	IL-17 RD	Interleukin-17 receptor D	Q8NFM7	54756	IL17RD
2992-59	SL004850	IL-17 sR	Interleukin-17 receptor A	Q96F46	23765	IL17RA
3499-77	SL004350	IL-17B	Interleukin-17B	Q9UHF5	27190	IL17B
5084-154	SL005174	IL-17B R	Interleukin-17 receptor B	Q9NRM6	55540	IL17RB
4136-40	SL004353	IL-17D	Interleukin-17D	Q8TAD2	53342	IL17D
4137-57	SL004351	IL-17E	Interleukin-25	Q9H293	64806	IL25
2775-54	SL004352	IL-17F	Interleukin-17F	Q96PD4	112744	IL17F
3073-51	SL002508	IL-18 BPa	Interleukin-18-binding protein	O95998	10068	IL18BP
3446-7	SL004152	IL-18 Ra	Interleukin-18 receptor 1	Q13478	8809	IL18R1
2993-1	SL004861	IL-18 Rb	Interleukin-18 receptor accessory protein	O95256	8807	IL18RAP
3035-80	SL004354	IL-19	Interleukin-19	Q9UHD0	29949	IL19
2723-9	SL005178	IL-1F7	Interleukin-37	Q9NZH6	27178	IL37
2994-71	SL004875	IL-1Rrp2	Interleukin-1 receptor-like 2	Q9HB29	8808	IL1RL2
4851-25	SL000125	IL-1a	Interleukin-1 alpha	P01583	3552	IL1A
3037-62	SL001795	IL-1b	Interleukin-1 beta	P01584	3553	IL1B
3070-1	SL000478	IL-2	Interleukin-2	P60568	3558	IL2
3151-6	SL003305	IL-2 sRa	Interleukin-2 receptor subunit alpha	P01589	3559	IL2RA
2634-2	SL003307	IL-2 sRg	Cytokine receptor common subunit gamma	P31785	3561	IL2RG
4138-25	SL004346	IL-20	Interleukin-20	Q9NYY1	50604	IL20
5085-18	SL005181	IL-20 Ra	Interleukin-20 receptor subunit alpha	Q9UHF4	53832	IL20RA
2778-10	SL004347	IL-22	Interleukin-22	Q9GZX6	50616	IL22
5087-5	SL005183	IL-22BP	Interleukin-22 receptor subunit alpha-2	Q969J5	116379	IL22RA2
5088-175	SL005185	IL-23 R	Interleukin-23 receptor	Q5VWK5	149233	IL23R
2829-19	SL006915	IL-27	Interleukin-27	Q8NEV9 Q14213	246778 10148	IL27 EBI3
4717-55	SL000479	IL-3	Interleukin-3	P08700	3562	IL3
4490-65	SL005187	IL-3 Ra	Interleukin-3 receptor subunit alpha	P26951	3563	IL3RA
4556-10	SL013548	IL-34	Interleukin-34	Q6ZMJ4	146433	IL34
2906-55	SL000480	IL-4	Interleukin-4	P05112	3565	IL4
3055-54	SL003308	IL-4 sR	Interleukin-4 receptor subunit alpha	P24394	3566	IL4R
4491-4	SL005188	IL-5 Ra	Interleukin-5 receptor subunit alpha	Q01344	3568	IL5RA
4673-13	SL000087	IL-6	Interleukin-6	P05231	3569	IL6
4139-71	SL001943	IL-6 sRa	Interleukin-6 receptor subunit alpha	P08887	3570	IL6R
4140-3	SL000483	IL-7	Interleukin-7	P13232	3574	IL7
5089-11	SL005189	IL-7 Ra	Interleukin-7 receptor subunit alpha	P16871	3575	IL7R
3447-64	SL000039	IL-8	Interleukin-8	P10145	3576	CXCL8
3620-67	SL007806	IL22RA1	Interleukin-22 receptor subunit alpha-1	Q8N6P7	58985	IL22RA1
3321-2	SL007385	IL24	Interleukin-24	Q13007	11009	IL24
5090-49	SL005190	ILT-2	Leukocyte immunoglobulin-like receptor subfamily B member 1	Q8NHL6	10859	LILRB1
5091-28	SL005191	ILT-4	Leukocyte immunoglobulin-like receptor subfamily B member 2	Q8N423	10288	LILRB2
3887-90	SL010927	IMB1	Importin subunit beta-1	Q14974	3837	KPNB1
5229-90	SL014735	IMDH1	Inosine-5'-monophosphate dehydrogenase 1	P20839	3614	IMPDH1
5250-53	SL010928	IMDH2	Inosine-5'-monophosphate dehydrogenase 2	P12268	3615	IMPDH2
3888-8	SL009628	ING1	Inhibitor of growth protein 1	Q9UK53	3621	ING1
4141-79	SL003183	IP-10	C-X-C motif chemokine 10	P02778	3627	CXCL10
3448-13	SL004125	IR	Insulin receptor	P06213	3643	INSR
4811-33	SL004739	ITI heavy chain H4	Inter-alpha-trypsin inhibitor heavy chain H4	Q14624	3700	ITIH4
4916-2	SL000460	IgD	Immunoglobulin D	P01880	3495 50802 3535	IGHD IGK@ IGL@
4135-84	SL000461	IgE	Immunoglobulin E	P01854	3497 50802 3535	IGHE IGK@ IGL@
3069-52	SL000468	IgM	Immunoglobulin M	P01871	3507 3512 50802 3535	IGHM IGJ IGK@ IGL@
4883-56	SL000021	Insulin	Insulin	P01308	3630	INS
3503-4	SL003179	Integrin a1b1	Integrin alpha-I: beta-1 complex	P56199 P05556	3672 3688	ITGA1 ITGB1
4917-62	SL003182	Integrin aVb5	Integrin alpha-V: beta-5 complex	P06756 P18084	3685 3693	ITGAV ITGB5
5092-51	SL007328	JAG1	Protein jagged-1	P78504	182	JAG1
5093-47	SL007774	JAG2	Protein jagged-2	Q9Y219	3714	JAG2
4998-50	SL007025	JAK2	Tyrosine-protein kinase JAK2	O60674	3717	JAK2
2997-8	SL005193	JAM-B	Junctional adhesion molecule B	P57087	58494	JAM2
2998-53	SL005194	JAM-C	Junctional adhesion molecule C	Q9BX67	83700	JAM3
5094-62	SL009202	JAML1	Junctional adhesion molecule-like	Q86YT9	120425	AMICA1
5244-12	SL004716	JNK2	Mitogen-activated protein kinase 9	P45984	5601	MAPK9
5193-51	SL002542	K-ras	GTPase KRas	P01116	3845	KRAS
5095-21	SL012698	KI2L4	Killer cell immunoglobulin-like receptor 2DL4	Q99706	3805	KIR2DL4
5096-51	SL014269	KI3L2	Killer cell immunoglobulin-like receptor 3DL2	P43630	3812	KIR3DL2
5097-14	SL014289	KI3S1	Killer cell immunoglobulin-like receptor 3DS1	Q14943	3813	KIR3DS1
5228-25	SL006189	KIF23	Kinesin-like protein KIF23	Q02241	9493	KIF23
4557-61	SL014111	KIRR3	Kin of IRRE-like protein 3	Q8IZU9	84623	KIRREL3
5098-79	SL014209	KLRF1	Killer cell lectin-like receptor subfamily F member 1	Q9NZS2	51348	KLRF1
3379-29	SL007228	KPCI	Protein kinase C iota type	P41743	5584	PRKCI
3817-18	SL007358	KPCT	Protein kinase C theta type	Q04759	5588	PRKCQ
3202-28	SL010393	KREM2	Kremen protein 2	Q8NCW0	79412	KREMEN2
4559-64	SL013969	KYNU	Kynureninase	Q16719	8942	KYNU
2831-29	SL002763	Kallikrein 11	Kallikrein-11	Q9UBX7	11012	KLK11
2833-20	SL003800	Kallikrein 4	Kallikrein-4	Q9Y5K2	9622	KLK4
3450-4	SL001797	Kallikrein 6	Kallikrein-6	Q92876	5653	KLK6
3378-49	SL000064	Kallikrein 7	Kallikrein-7	P49862	5650	KLK7
3449-58	SL004876	Kallistatin	Kallistatin	P29622	5267	SERPINA4
2860-19	SL004718	Karyopherin-a2	Importin subunit alpha-1	P52292	3838	KPNA2
5354-11	SL000655	Keratin 18	Keratin, type I cytoskeletal 18	P05783	3875	KRT18
4495-33	SL017189	Kininogen, HMW	Kininogen-1	P01042	3827	KNG1
2835-1	SL004301	Ku70	X-ray repair cross-complementing protein 6	P12956	2547	XRCC6
2781-63	SL004356	LAG-1	C-C motif chemokine 4-like	Q8NHW4	388372	CCL4L1
5099-14	SL005195	LAG-3	Lymphocyte activation gene 3 protein	P18627	3902	LAG3
3074-6	SL003309	LBP	Lipopolysaccharide-binding protein	P18428	3929	LBP
3452-17	SL006916	LCK	Tyrosine-protein kinase Lck	P06239	3932	LCK
4237-70	SL011770	LCMT1	Leucine carboxyl methyltransferase 1	Q9UIC8	51451	LCMT1
2783-18	SL004355	LD78-beta	C-C motif chemokine 3-like 1	P16619	414062	CCL3L1
3890-8	SL000493	LDH-H 1	L-lactate dehydrogenase B chain	P07195	3945	LDHB
3504-58	SL004536	LEAP-1	Hepcidin	P81172	57817	HAMP
5000-52	SL006522	LG3BP	Galectin-3-binding protein	Q08380	3959	LGALS3BP
3622-33	SL008909	LGMN	Legumain	Q99538	5641	LGMN
5355-69	SL004648	LIGHT	Tumor necrosis factor ligand superfamily member 14	O43557	8740	TNFSF14
5100-53	SL005197	LIMP II	Lysosome membrane protein 2	Q14108	950	SCARB2
4238-4	SL012168	LIN7B	Protein lin-7 homolog B	Q9HAP6	64130	LIN7B
3204-2	SL007100	LKHA4	Leukotriene A-4 hydrolase	P09960	4048	LTA4H
3322-52	SL010464	LRIG3	Leucine-rich repeats and immunoglobulin-like domains protein 3	Q6UXM1	121227	LRIG3
3323-37	SL004610	LRP8	Low-density lipoprotein receptor-related protein 8	Q14114	7804	LRP8
4452-9	SL014096	LRRT1	Leucine-rich repeat transmembrane neuronal protein 1	Q86UE6	347730	LRRTM1
4453-83	SL014108	LRRT3	Leucine-rich repeat transmembrane neuronal protein 3	Q86VH5	347731	LRRTM3
2999-6	SL005196	LSAMP	Limbic system-associated membrane protein	Q13449	4045	LSAMP
3623-84	SL007059	LY86	Lymphocyte antigen 86	O95711	9450	LY86
3324-51	SL007674	LY9	T-lymphocyte surface antigen Ly-9	Q9HBG7	4063	LY9
3453-87	SL006917	LYN	Tyrosine-protein kinase Lyn	P07948	4067	LYN
3381-24	SL010500	LYNB	Tyrosine-protein kinase Lyn, isoform B	P07948	4067	LYN
3206-4	SL008904	LYVE1	Lymphatic vessel endothelial hyaluronic acid receptor 1	Q9Y5Y7	10894	LYVE1
2780-35	SL000496	Lactoferrin	Lactotransferrin	P02788	4057	LTF
3889-64	SL006132	Lamin-B1	Lamin-B1	P20700	4001	LMNB1
2728-62	SL000497	Laminin	Laminin	P25391 P07942 P11047	284217 3912 3915	LAMA1 LAMB1 LAMC1
2635-61	SL004646	Layilin	Layilin	Q6UX15	143903	LAYN
2836-68	SL000695	Lipocalin 2	Neutrophil gelatinase-associated lipocalin	P80188	3934	LCN2
4561-65	SL004299	Livin B	Baculoviral IAP repeat-containing protein 7 Isoform beta	Q96CA5	79444	BIRC7
2953-31	SL000506	Luteinizing hormone	Luteinizing hormone	P01215 P01229	1081 3972	CGA LHB
4143-74	SL003186	Lymphotactin	Lymphotactin	P47992	6375	XCL1
3505-6	SL000507	Lymphotoxin a1/b2	Lymphotoxin alpha1:beta2	P01374 Q06643	4049 4050	LTA LTB
3506-49	SL000508	Lymphotoxin a2/b1	Lymphotoxin alpha2:beta1	P01374 Q06643	4049 4050	LTA LTB
2636-10	SL000509	Lymphotoxin b R	Tumor necrosis factor receptor superfamily member 3	P36941	4055	LTBR
4920-10	SL000510	Lysozyme	Lysozyme C	P61626	4069	LYZ
2638-12	SL004153	M-CSF R	Macrophage colony-stimulating factor 1 receptor	P07333	1436	CSF1R
4240-31	SL002650	M2-PK	Pyruvate kinase PKM	P14618	5315	PKM2
5007-1	SL006920	MAPK14	Mitogen-activated protein kinase 14	Q16539	1432	MAPK14
3820-68	SL010503	MAPK2	MAP kinase-activated protein kinase 2	P49137	9261	MAPKAPK2
3821-28	SL010504	MAPK5	MAP kinase-activated protein kinase 5	Q8IW41	8550	MAPKAPK5
3822-54	SL004765	MAPKAPK3	MAP kinase-activated protein kinase 3	Q16644	7867	MAPKAPK3
3605-77	SL011049	MASP3	Mannan-binding lectin serine protease 1	P48740	5648	MASP1
3823-9	SL010505	MATK	Megakaryocyte-associated tyrosine-protein kinase	P42679	4145	MATK
3325-2	SL010465	MATN2	Matrilin-2	O00339	4147	MATN2
3208-2	SL006992	MATN3	Matrilin-3	O15232	4148	MATN3
3891-56	SL009629	MBD4	Methyl-CpG-binding domain protein 4	O95243	8930	MBD4
3000-66	SL004516	MBL	Mannose-binding protein C	P11226	4153	MBL2
2578-67	SL000038	MCP-1	C-C motif chemokine 2	P13500	6347	CCL2
2785-15	SL000515	MCP-2	C-C motif chemokine 8	P80075	6355	CCL8
4886-3	SL000516	MCP-3	C-C motif chemokine 7	P80098	6354	CCL7
4144-13	SL000517	MCP-4	C-C motif chemokine 13	Q99616	6357	CCL13
3508-78	SL003187	MDC	C-C motif chemokine 22	O00626	6367	CCL22
3853-56	SL008102	MDHC	Malate dehydrogenase, cytoplasmic	P40925	4190	MDH1
4245-80	SL001999	MDM2	E3 ubiquitin-protein ligase Mdm2	Q00987	4193	MDM2
2864-2	SL003793	MEK1	Dual specificity mitogen-activated protein kinase kinase 1	Q02750	5604	MAP2K1
3209-69	SL005437	MEPE	Matrix extracellular phosphoglycoprotein	Q9NQ76	56955	MEPE
3210-1	SL010374	METAP1	Methionine aminopeptidase 1	P53582	23173	METAP1
4455-89	SL006523	MFGM	Lactadherin	Q08431	4240	MFGE8
3685-53	SL010466	MFRP	Membrane frizzled-related protein	Q9BY79	83552	MFRP
2687-2	SL001947	MIA	Melanoma-derived growth regulatory protein	Q16674	8190	MIA
2730-58	SL005199	MICA	MHC class I polypeptide-related sequence A	Q29983	4276	MICA
5102-55	SL005200	MICB	MHC class I polypeptide-related sequence B	Q29980	4277	MICB
5356-2	SL003080	MIF	Macrophage migration inhibitory factor	P14174	4282	MIF
3040-59	SL000519	MIP-1a	C-C motif chemokine 3	P10147	6348	CCL3
2468-62	SL000133	MIP-3a	C-C motif chemokine 20	P78556	6364	CCL20
4922-13	SL003189	MIP-3b	C-C motif chemokine 19	Q99731	6363	CCL19
3509-1	SL003190	MIP-5	C-C motif chemokine 15	Q16663	6359	CCL15
4923-79	SL005201	MIS	Muellerian-inhibiting factor	P03971	268	AMH
3115-64	SL006918	MK01	Mitogen-activated protein kinase 1	P28482	5594	MAPK1
3825-18	SL010502	MK08	Mitogen-activated protein kinase 8	P45983	5599	MAPK8
5004-69	SL007453	MK11	Mitogen-activated protein kinase 11	Q15759	5600	MAPK11
5005-4	SL007281	MK12	Mitogen-activated protein kinase 12	P53778	6300	MAPK12
5006-71	SL006993	MK13	Mitogen-activated protein kinase 13	O15264	5603	MAPK13
3627-71	SL010376	MMEL2	Membrane metallo-endopeptidase-like 1	Q495T6	79258	MMEL1
4924-32	SL000521	MMP-1	Interstitial collagenase	P03956	4312	MMP1
4496-60	SL000522	MMP-12	Macrophage metalloelastase	P39900	4321	MMP12
4925-54	SL000523	MMP-13	Collagenase 3	P45452	4322	MMP13
5002-76	SL002646	MMP-14	Matrix metalloproteinase-14	P50281	4323	MMP14
5268-49	SL003331	MMP-16	Matrix metalloproteinase-16	P51512	4325	MMP16
2838-53	SL003332	MMP-17	Matrix metalloproteinase-17	Q9ULZ9	4326	MMP17
4160-49	SL000124	MMP-2	72 kDa type IV collagenase	P08253	4313	MMP2
2788-55	SL000524	MMP-3	Stromelysin-1	P08254	4314	MMP3
2789-26	SL000525	MMP-7	Matrilysin	P09237	4316	MMP7
2579-17	SL000527	MMP-9	Matrix metalloproteinase-9	P14780	4318	MMP9
5103-30	SL014288	MO2R1	Cell surface glycoprotein CD200 receptor 1	Q8TD46	131450	CD200R1
2865-77	SL004724	MOZ	Histone acetyltransferase KAT6A	Q92794	7994	KAT6A
3628-3	SL010501	MP2K2	Dual specificity mitogen-activated protein kinase kinase 2	P36507	5605	MAP2K2
5242-37	SL007237	MP2K4	Dual specificity mitogen-activated protein kinase kinase 4	P45985	6416	MAP2K4
2913-1	SL003302	MPIF-1	C-C motif chemokine 23	P55773	6368	CCL23
3041-55	SL008416	MRC2	C-type mannose receptor 2	Q9UBG0	9902	MRC2
3629-60	SL006805	MRCKB	Serine/threonine-protein kinase MRCK beta	Q9Y5S2	9578	CDC42BPB
4407-10	SL005202	MSP	Hepatocyte growth factor-like protein	P26927	4485	MST1
2640-3	SL004637	MSP R	Macrophage-stimulating protein receptor	Q04912	4486	MST1R
2637-77	SL004579	Macrophage mannose receptor	Macrophage mannose receptor 1	P22897	4360	MRC1
3684-78	SL004580	Macrophage scavenger receptor	Macrophage scavenger receptor types I and II	P21757	4481	MSR1
5001-6	SL001973	Mammaglobin 2	Mammaglobin-B	O75556	4246	SCGB2A1
3624-3	SL011069	Marapsin	Serine protease 27	Q9BQR3	83886	PRSS27
3893-64	SL001905	Mesothelin	Mesothelin	Q13421	10232	MSLN
2837-3	SL000134	Met	Hepatocyte growth factor receptor	P08581	4233	MET
2911-27	SL002621	Midkine	Midkine	P21741	4192	MDK
5008-51	SL001815	Mn SOD	Superoxide dismutase [Mn], mitochondrial	P04179	6648	SOD2
5009-11	SL005846	Moesin	Moesin	P26038	4478	MSN
2580-83	SL001796	Myeloperoxidase	Myeloperoxidase	P05164	4353	MPO
3042-7	SL000164	Myoglobin	Myoglobin	P02144	4151	MB
5012-67	SL004296	Myokinase, human	Adenylate kinase isoenzyme 1	P00568	203	AK1
3854-24	SL011631	NACA	Nascent polypeptide-associated complex subunit alpha	Q13765	4666	NACA
2731-29	SL000528	NADPH-P450 Oxidoreductase	NADPH--cytochrome P450 reductase	P16435	5447	POR
3894-15	SL005629	NAGK	N-acetyl-D-glucosamine kinase	Q9UJ70	55577	NAGK
2732-58	SL005235	NANOG	Homeobox protein NANOG	Q9H9S0	79923	NANOG
2790-54	SL003191	NAP-2	Neutrophil-activating peptide 2	P02775	5473	PPBP
4498-62	SL003764	NCAM-120	Neural cell adhesion molecule 1, 120 kDa isoform	P13591	4684	NCAM1
4246-40	SL004154	NCAM-L1	Neural cell adhesion molecule L1	P32004	3897	L1CAM
5013-2	SL004915	NCC27	Chloride intracellular channel protein 1	O00299	1192	CLIC1
5014-49	SL006091	NCK1	Cytoplasmic protein NCK1	P16333	4690	NCK1
4249-64	SL004921	NDP kinase B	Nucleoside diphosphate kinase B	P22392	4831	NME2
3327-27	SL007673	NET4	Netrin-4	Q9HB63	59277	NTN4
3056-11	SL005204	NKG2D	NKG2-D type II integral membrane protein	P26718	22914	KLRK1
3003-29	SL005205	NKp30	Natural cytotoxicity triggering receptor 3	O14931	259197	NCR3
2734-49	SL005206	NKp44	Natural cytotoxicity triggering receptor 2	O95944	9436	NCR2
5104-57	SL005207	NKp46	Natural cytotoxicity triggering receptor 1	O76036	9437	NCR1
5357-60	SL014113	NLGNX	Neuroligin-4, X-linked	Q8N0W4	57502	NLGN4X
5196-7	SL006476	NMT1	Glycylpeptide N-tetradecanoyltransferase 1	P30419	4836	NMT1
5106-52	SL007356	NOTC2	Neurogenic locus notch homolog protein 2	Q04721	4853	NOTCH2
2692-74	SL002528	NPS-PLA2	Phospholipase A2, membrane associated	P14555	5320	PLA2G2A
5236-2	SL007145	NR1D1	Nuclear receptor subfamily 1 group D member 1	P20393	9572	NR1D1
5110-84	SL009054	NRX1B	Neurexin-1-beta	P58400	9378	NRXN1
5111-15	SL008728	NRX3B	Neurexin-3-beta	Q9HDB5	9369	NRXN3
4250-23	SL006268	NSF1C	NSFL1 cofactor p47	Q9UNZ2	55968	NSFL1C
4254-6	SL011768	NUDC3	NudC domain-containing protein 3	Q8IVD9	23386	NUDCD3
4562-1	SL012457	NXPH1	Neurexophilin-1	P58417	30010	NXPH1
3630-27	SL004804	Nectin-like protein 1	Cell adhesion molecule 3	Q8N126	57863	CADM3
3326-58	SL004805	Nectin-like protein 2	Cell adhesion molecule 1	Q9BY67	23705	CADM1
4145-58	SL004359	Neurotrophin-3	Neurotrophin-3	P20783	4908	NTF3
4146-58	SL004360	Neurotrophin-5	Neurotrophin-4	P34130	4909	NTF4
3213-65	SL000640	Nidogen	Nidogen-1	P14543	4811	NID1
5105-2	SL005208	Nogo Receptor	Reticulon-4 receptor	Q9BZR6	65078	RTN4R
5107-7	SL005703	Notch 1	Neurogenic locus notch homolog protein 1	P46531	4851	NOTCH1
5108-72	SL005209	Notch-3	Neurogenic locus notch homolog protein 3	Q9UM47	4854	NOTCH3
2737-22	SL005236	NovH	Protein NOV homolog	P48745	4856	NOV
5109-24	SL005210	Nr-CAM	Neuronal cell adhesion molecule	Q92823	4897	NRCAM
3634-5	SL005491	OBCAM	Opioid-binding protein/cell adhesion molecule	Q14982	4978	OPCML
3635-76	SL010530	OCAD1	OCIA domain-containing protein 1	Q9NX40	54940	OCIAD1
3636-37	SL007327	OLR1	Oxidized low-density lipoprotein receptor 1	P78380	4973	OLR1
5358-3	SL008574	OMD	Osteomodulin	Q99983	4958	OMD
3043-49	SL000532	ON	SPARC	P09486	6678	SPARC
2526-53	SL002539	OPG	Tumor necrosis factor receptor superfamily member 11B	O00300	4982	TNFRSF11B
2693-20	SL000530	OSM	Oncostatin-M	P13725	5008	OSM
5112-73	SL014268	OX2G	OX-2 membrane glycoprotein	P41217	4345	CD200
2839-2	SL004649	OX40 Ligand	Tumor necrosis factor ligand superfamily member 4	P23510	7292	TNFSF4
4769-10	SL008590	Olfactomedin-4	Olfactomedin-4	Q6UX06	10562	OLFM4
2643-57	SL004183	P-Cadherin	Cadherin-3	P22223	1001	CDH3
4154-57	SL000560	P-Selectin	P-selectin	P16109	6403	SELP
4258-15	SL008331	PA2G4	Proliferation-associated protein 2G4	Q9UQ80	5036	PA2G4
5015-15	SL003440	PAFAH	Platelet-activating factor acetylhydrolase	Q13093	7941	PLA2G7
2642-4	SL004760	PAFAH beta subunit	Platelet-activating factor acetylhydrolase IB subunit beta	P68402	5049	PAFAH1B2
2925-9	SL000006	PAI-1	Plasminogen activator inhibitor 1	P05121	5054	SERPINE1
3387-1	SL010508	PAK3	Serine/threonine-protein kinase PAK 3	O75914	5063	PAK3
3827-22	SL010509	PAK6	Serine/threonine-protein kinase PAK 6	Q9NQU5	56924	PAK6
3388-58	SL010510	PAK7	Serine/threonine-protein kinase PAK 7	Q9P286	57144	PAK7
4148-49	SL002755	PAPP-A	Pappalysin-1	Q13219	5069	PAPPA
3044-3	SL003323	PARC	C-C motif chemokine 18	P55774	6362	CCL18
5016-61	SL008933	PARK7	Protein deglycase DJ-1	Q99497	11315	PARK7
5011-11	SL003685	PBEF	Nicotinamide phosphoribosyltransferase	P43490	10135	NAMPT
3389-7	SL000550	PCI	Plasma serine protease inhibitor	P05154	5104	SERPINA5
2915-6	SL000131	PCNA	Proliferating cell nuclear antigen	P12004	5111	PCNA
