"seqid"	"somaid"	"target"	"targetfull"	"chr"	"start"	"end"	"entrezgenesymbol"	"entrezgeneid"	"uniprotid"	"pathways_wiki"	"pathways_pid"	"pathways_uni"	"pathways_reactome"	"pathways_studio"	"ipa_drugs"	"ipa_applications"	"uniprotcomment"	"locus"	"network"
"5079-11_3"	"SL004859"	"GITR"	"Tumor necrosis factor receptor superfamily member 18"	"1"	"1203508"	"1206691"	"TNFRSF18"	"8784"	"Q9Y5U5"	"NA"	"NA"	"NA"	"NA"	"NA"	""	"diagnosis"	"Receptor for TNFSF18. Seems to be involved in interactions between activated T-lymphocytes and endothelial cells and in the regulation of T-cell receptor-mediated cell death. Mediated NF-kappa-B activation via the TRAF2/NIK pathway."	""	"TRUE"
"5080-131_3"	"SL007429"	"GPNMB"	"Transmembrane glycoprotein NMB"	"7"	"23235967"	"23275108"	"GPNMB"	"10457"	"Q14956"	""	""	""	""	""	""	"unspecified application"	"Could be a melanogenic enzyme."	"323|363"	"TRUE"
"5082-51_3"	"SL004849"	"IL-1 sR9"	"X-linked interleukin-1 receptor accessory protein-like 2"	"X"	"104566315"	"105767829"	"IL1RAPL2"	"26280"	"Q9NP60"	""	""	""	""	""	""	""	"Membrane"	""	"TRUE"
"5084-154_3"	"SL005174"	"IL-17B R"	"interleukin-17 receptor B"	"3"	"53846580"	"53865800"	"IL17RB"	"55540"	"Q9NRM6"	""	""	""	""	""	""	""	"Receptor for the proinflammatory cytokines IL17B and IL17E. May play a role in controlling the growth and/or differentiation of hematopoietic cells."	"445"	"TRUE"
"5085-18_3"	"SL005181"	"IL-20 Ra"	"Interleukin-20 receptor subunit alpha"	"6"	"136999971"	"137045180"	"IL20RA"	"53832"	"Q9UHF4"	""	""	""	""	""	""	""	"The IL20RA/IL20RB dimer is a receptor for IL19, IL20 and IL24. The IL20RA/IL10RB dimer is a receptor for IL26."	""	"TRUE"
"5087-5_3"	"SL005183"	"IL-22BP"	"Interleukin-22 receptor subunit alpha-2"	"6"	"137143820"	"137173648"	"IL22RA2"	"116379"	"Q969J5"	""	""	""	""	""	""	""	"Isoform 2 is a receptor for IL22. Binds to IL22, prevents interaction with the functional IL-22R complex and blocks the activity of IL22 (in vitro). May play an important role as an IL22 antagonist in the regulation of inflammatory responses."	""	"TRUE"
"5088-175_3"	"SL005185"	"IL-23 R"	"Interleukin-23 receptor"	"1"	"67166400"	"67259979"	"IL23R"	"149233"	"Q5VWK5"	""	"IL23-mediated signaling events"	""	""	"Th17 Cell Differentiation"	""	""	"Associates with IL12RB1 to form the interleukin-23 receptor. Binds IL23 and mediates T-cells, NK cells and possibly certain macrophage/myeloid cells stimulation probably through activation of the Jak-Stat signaling cascade. IL23 functions in innate and adaptive immunity and may participate in acute response to infection in peripheral tissues. IL23 may be responsible for autoimmune inflammatory diseases and be important for tumorigenesis."	"251"	"TRUE"
"5089-11_3"	"SL005189"	"IL-7 Ra"	"Interleukin-7 receptor subunit alpha"	"5"	"35852695"	"35879603"	"IL7R"	"3575"	"P16871"	"IL-7 signaling pathway"	""	""	"Interleukin-7 signaling"	"IL7R -> FOXO/NF-kB signaling|IL7R -> STAT signaling|Model of T-cell Maturation|T-cell-Dependent B-cell Activation|V(D)J Recombination Activation"	"recombinant human interleukin-7"	""	"Receptor for interleukin-7. Also acts as a receptor for thymic stromal lymphopoietin (TSLP)."	"183"	"TRUE"
"5090-49_2"	"SL005190"	"ILT-2"	"Leukocyte immunoglobulin-like receptor subfamily B member 1"	"19"	"54547681"	"54632582"	"LILRB1"	"10859"	"Q8NHL6"	""	""	""	"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	"Natural Killer Cell Inhibitory Receptor Signaling"	""	""	"Receptor for class I MHC antigens. Recognizes a broad spectrum of HLA-A, HLA-B, HLA-C and HLA-G alleles. Receptor for H301/UL18, a human cytomegalovirus class I MHC homolog. Ligand binding results in inhibitory signals and down-regulation of the immune response. Engagement of LILRB1 present on natural killer cells or T-cells by class I MHC molecules protects the target cells from lysis. Interaction with HLA-B or HLA-E leads to inhibition of the signal triggered by FCER1A and inhibits serotonin release. Inhibits FCGR1A-mediated phosphorylation of cellular proteins and mobilization of intracellular calcium ions."	"41|125"	"TRUE"
"5091-28_3"	"SL005191"	"ILT-4"	"Leukocyte immunoglobulin-like receptor subfamily B member 2"	"19"	"54238904"	"54281944"	"LILRB2"	"10288"	"Q8N423"	""	""	""	"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	""	""	""	"Receptor for class I MHC antigens. Recognizes a broad spectrum of HLA-A, HLA-B, HLA-C and HLA-G alleles. Involved in the down-regulation of the immune response and the development of tolerance. Competes with CD8A for binding to class I MHC antigens. Inhibits FCGR1A-mediated phosphorylation of cellular proteins and mobilization of intracellular calcium ions."	"48"	"TRUE"
"5092-51_3"	"SL007328"	"JAG1"	"Protein jagged-1"	"20"	"10637684"	"10674107"	"JAG1"	"182"	"P78504"	"Notch Signaling Pathway|Proteins and DNA Sequences in Cardicac Structures"	"Notch signaling pathway|Validated transcriptional targets of TAp63 isoforms"	""	"Activated NOTCH1 Transmits Signal to the Nucleus|Constitutive Signaling by NOTCH1 HD Domain Mutants|Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants|Constitutive Signaling by NOTCH1 PEST Domain Mutants|Constitutive Signaling by NOTCH1 t(7|NOTCH2 Activation and Transmission of Signal to the Nucleus|Signaling by NOTCH3|Signaling by NOTCH4"	"Notch -> EP300/ASCL signaling|Notch -> LEF1 signaling|Notch -> MEF/MYOD signaling|Notch -> NF-kB signaling|Notch -> RBPJ/HES/HEY signaling|Notch -> SMAD3 signaling|Notch -> TCF3 signaling"	""	"efficacy"	"Ligand for multiple Notch receptors and involved in the mediation of Notch signaling. May be involved in cell-fate decisions during hematopoiesis. Seems to be involved in early and late stages of mammalian cardiovascular development. Inhibits myoblast differentiation (By similarity). Enhances fibroblast growth factor-induced angiogenesis (in vitro)."	"28"	"TRUE"
"5093-47_3"	"SL007774"	"JAG2"	"Protein jagged-2"	"14"	"105140981"	"105168824"	"JAG2"	"3714"	"Q9Y219"	"Notch Signaling Pathway"	"Notch signaling pathway|p73 transcription factor network"	""	"Activated NOTCH1 Transmits Signal to the Nucleus|Constitutive Signaling by NOTCH1 HD Domain Mutants|Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants|Constitutive Signaling by NOTCH1 PEST Domain Mutants|Constitutive Signaling by NOTCH1 t(7|NOTCH2 Activation and Transmission of Signal to the Nucleus|Signaling by NOTCH3|Signaling by NOTCH4"	"Notch -> TCF3 signaling"	""	""	"Putative Notch ligand involved in the mediation of Notch signaling. Involved in limb development (By similarity)."	""	"TRUE"
"5094-62_3"	"SL009202"	"JAML1"	"Junctional adhesion molecule-like"	"11"	"118193740"	"118225094"	"AMICA1"	"120425"	"Q86YT9"	""	"Alpha4 beta1 integrin signaling events"	""	"Cell surface interactions at the vascular wall|Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	""	""	""	"Transmembrane protein of the plasma membrane of leukocytes that control their migration and activation through interaction with CXADR, a plasma membrane receptor found on adjacent epithelial and endothelial cells. The interaction between both receptors mediates the activation of gamma-delta T-cells, a subpopulation of T-cells residing in epithelia and involved in tissue homeostasis and repair. Upon epithelial CXADR-binding, AMICA1 induces downstream cell signaling events in gamma-delta T-cells through PI3-kinase and MAP kinases. It results in proliferation and production of cytokines and growth factors by T-cells that in turn stimulate epithelial tissues repair. It also controls the transmigration of leukocytes within epithelial and endothelial tissues through adhesive interactions with epithelial and endothelial CXADR."	""	"TRUE"
"5095-21_3"	"SL012698"	"KI2L4"	"Killer cell immunoglobulin-like receptor 2DL4"	"19"	"54733566"	"54844782"	"KIR2DL4"	"3805"	"Q99706"	""	""	""	"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	"Natural Killer Cell Activation through Integrins and non-ITAM-Containing Receptors"	""	""	"Receptor on natural killer (NK) cells for HLA-C alleles. Inhibits the activity of NK cells thus preventing cell lysis."	"78|370"	"TRUE"
"5096-51_3"	"SL014269"	"KI3L2"	"Killer cell immunoglobulin-like receptor 3DL2"	"19"	"54780466"	"54897308"	"KIR3DL2"	"3812"	"P43630"	""	""	""	"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	"Natural Killer Cell Inhibitory Receptor Signaling"	""	"diagnosis"	"Receptor on natural killer (NK) cells for HLA-A alleles. Inhibits the activity of NK cells thus preventing cell lysis."	""	"TRUE"
"5097-14_3"	"SL014289"	"KI3S1"	"Killer cell immunoglobulin-like receptor 3DS1"	"19"	"54770963"	"54875495"	"KIR3DS1"	"3813"	"Q14943"	""	""	""	"DAP12 interactions"	"Natural Killer Cell Activation through ITAM-Containing Receptors"	""	"NA"	"Receptor on natural killer (NK) cells for HLA-C alleles. Does not inhibit the activity of NK cells."	""	"TRUE"
"5098-79_3"	"SL014209"	"KLRF1"	"Killer cell lectin-like receptor subfamily F member 1"	"12"	"9827481"	"9845007"	"KLRF1"	"51348"	"Q9NZS2"	""	""	""	""	"Natural Killer Cell Activation through Integrins and non-ITAM-Containing Receptors"	""	""	"Involved in the natural killer (NK)-mediated cytolysis of PHA-induced lymphoblasts."	""	"TRUE"
"5099-14_3"	"SL005195"	"LAG-3"	"Lymphocyte activation gene 3 protein"	"12"	"6772512"	"6778455"	"LAG3"	"3902"	"P18627"	""	""	""	""	""	""	""	"Involved in lymphocyte activation. Binds to HLA class-II antigens."	""	"TRUE"
"5100-53_3"	"SL005197"	"LIMP II"	"Lysosome membrane protein 2"	"4"	"76158737"	"76213893"	"SCARB2"	"950"	"Q14108"	""	""	""	""	"Transcytosis"	""	"disease progression"	"Acts as a lysosomal receptor for glucosylceramidase (GBA) targeting."	""	"TRUE"
"5102-55_3"	"SL005200"	"MICB"	"MHC class I polypeptide-related sequence B"	"6"	"31485545"	"31587478"	"MICB"	"4277"	"Q29980"	""	""	""	""	"Natural Killer Cell Activation|Natural Killer Cell Activation through C-type Lectin-like Receptors"	""	"safety"	"Seems to have no role in antigen presentation. Acts as a stress-induced self-antigen that is recognized by gamma delta T cells. Ligand for the KLRK1/NKG2D receptor. Binding to KLRK1 leads to cell lysis."	"105|146|180|198|199|206|253|260|277|295|330"	"TRUE"
"5103-30_3"	"SL014288"	"MO2R1"	"Cell surface glycoprotein CD200 receptor 1"	"3"	"112921209"	"112975122"	"CD200R1"	"131450"	"Q8TD46"	""	""	""	"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	""	""	""	"Inhibitory receptor for the CD200/OX2 cell surface glycoprotein. Limits inflammation by inhibiting the expression of proinflammatory molecules including TNF-alpha, interferons, and inducible nitric oxide synthase (iNOS) in response to selected stimuli. Also binds to HHV-8 K14 viral CD200 homolog with identical affinity and kinetics as the host CD200."	""	"TRUE"
"5104-57_3"	"SL005207"	"NKp46"	"Natural cytotoxicity triggering receptor 1"	"19"	"54576966"	"54946235"	"NCR1"	"9437"	"O76036"	""	""	""	""	"Natural Killer Cell Activation through ITAM-Containing Receptors"	""	""	"Cytotoxicity-activating receptor that may contribute to the increased efficiency of activated natural killer (NK) cells to mediate tumor cell lysis."	""	"TRUE"
"5105-2_3"	"SL005208"	"Nogo Receptor"	"Reticulon-4 receptor"	"22"	"20241415"	"20283246"	"RTN4R"	"65078"	"Q9BZR6"	""	"p75(NTR)-mediated signaling"	""	"Axonal growth inhibition (RHOA activation)"	""	""	""	"Receptor for RTN4, OMG and MAG. Signaling mediates activation of Rho and downstream reorganization of the actin cytoskeleton. Mediates axonal growth inhibition and may play a role in regulating axonal regeneration and plasticity in the adult central nervous system. Acts in conjunction with RTN4 and LINGO1 in regulating neuronal precursor cell motility during cortical development."	""	"TRUE"
"5106-52_3"	"SL007356"	"NOTC2"	"Neurogenic locus notch homolog protein 2"	"1"	"119911553"	"120069626"	"NOTCH2"	"4853"	"Q04721"	"Epithelium TarBase|Lymphocyte TarBase|Muscle cell TarBase|Neural Crest Differentiation|Notch Signaling Pathway"	"Notch signaling pathway"	""	"NOTCH2 Activation and Transmission of Signal to the Nucleus|NOTCH2 intracellular domain regulates transcription|Notch-HLH transcription pathway|Pre-NOTCH Processing in Golgi|Pre-NOTCH Processing in the Endoplasmic Reticulum|Pre-NOTCH Transcription and Translation"	"Notch -> TCF3 signaling"	""	"unspecified application"	"Functions as a receptor for membrane-bound ligands Jagged1, Jagged2 and Delta1 to regulate cell-fate determination. Upon ligand activation through the released notch intracellular domain (NICD) it forms a transcriptional activator complex with RBPJ/RBPSUH and activates genes of the enhancer of split locus. Affects the implementation of differentiation, proliferation and apoptotic programs (By similarity). Involved in bone remodeling and homeostasis. In collaboration with RELA/p65 enhances NFATc1 promoter activity and positively regulates RANKL-induced osteoclast differentiation. Positively regulates self-renewal of liver cancer cells (PubMed:25985737)."	""	"TRUE"
"5107-7_2"	"SL005703"	"Notch 1"	"Neurogenic locus notch homolog protein 1"	"9"	"136494444"	"136545862"	"NOTCH1"	"4851"	"P46531"	"Epithelium TarBase|Heart Development|Lymphocyte TarBase|Muscle cell TarBase|Neural Crest Differentiation|Notch Signaling Pathway|Proteins and DNA Sequences in Cardicac Structures"	"Notch signaling pathway|Notch-mediated HES/HEY network|Presenilin action in Notch and Wnt signaling|Validated transcriptional targets of deltaNp63 isoforms"	""	"Activated NOTCH1 Transmits Signal to the Nucleus|Constitutive Signaling by NOTCH1 HD Domain Mutants|Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants|Constitutive Signaling by NOTCH1 PEST Domain Mutants|Constitutive Signaling by NOTCH1 t(7|Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling|NOTCH1 Intracellular Domain Regulates Transcription|Notch-HLH transcription pathway|Pre-NOTCH Processing in Golgi|Pre-NOTCH Processing in the Endoplasmic Reticulum|Pre-NOTCH Transcription and Translation|Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells"	"Adherens Junction Assembly (Cadherins)|EphrinR -> STAT signaling|Model of T-cell Maturation|Notch -> EP300/ASCL signaling|Notch -> LEF1 signaling|Notch -> MEF/MYOD signaling|Notch -> NF-kB signaling|Notch -> SMAD3 signaling|Notch -> TCF3 signaling|Transcriptional Activation of Immunoglobulin Genes"	""	"diagnosis|efficacy"	"Functions as a receptor for membrane-bound ligands Jagged1, Jagged2 and Delta1 to regulate cell-fate determination. Upon ligand activation through the released notch intracellular domain (NICD) it forms a transcriptional activator complex with RBPJ/RBPSUH and activates genes of the enhancer of split locus. Affects the implementation of differentiation, proliferation and apoptotic programs. Involved in angiogenesis; negatively regulates endothelial cell proliferation and migration and angiogenic sprouting. Involved in the maturation of both CD4+ and CD8+ cells in the thymus. Important for follicular differentiation and possibly cell fate selection within the follicle. During cerebellar development, functions as a receptor for neuronal DNER and is involved in the differentiation of Bergmann glia. Represses neuronal and myogenic differentiation. May play an essential role in postimplantation development, probably in some aspect of cell specification and/or differentiation. May be involved in mesoderm development, somite formation and neurogenesis. May enhance HIF1A function by sequestering HIF1AN away from HIF1A. Required for the THBS4 function in regulating protective astrogenesis from the subventricular zone (SVZ) niche after injury. Involved in determination of left/right symmetry by modulating the balance between motile and immotile (sensory) cilia at the left-right organiser (LRO)."	"69"	"TRUE"
"5108-72_3"	"SL005209"	"Notch-3"	"Neurogenic locus notch homolog protein 3"	"19"	"15159038"	"15200981"	"NOTCH3"	"4854"	"Q9UM47"	"Neural Crest Differentiation|Notch Signaling Pathway"	"Notch signaling pathway"	""	"Notch-HLH transcription pathway|Pre-NOTCH Processing in Golgi|Pre-NOTCH Processing in the Endoplasmic Reticulum|Pre-NOTCH Transcription and Translation|Signaling by NOTCH3"	""	""	"unspecified application"	"Functions as a receptor for membrane-bound ligands Jagged1, Jagged2 and Delta1 to regulate cell-fate determination. Upon ligand activation through the released notch intracellular domain (NICD) it forms a transcriptional activator complex with RBPJ/RBPSUH and activates genes of the enhancer of split locus. Affects the implementation of differentiation, proliferation and apoptotic programs (By similarity)."	""	"TRUE"
"5109-24_3"	"SL005210"	"Nr-CAM"	"Neuronal cell adhesion molecule"	"7"	"108147623"	"108456717"	"NRCAM"	"4897"	"Q92823"	""	""	""	"Interaction between L1 and Ankyrins|Neurofascin interactions|NrCAM interactions"	""	""	""	"Cell adhesion protein that is required for normal responses to cell-cell contacts in brain and in the peripheral nervous system. Plays a role in neurite outgrowth in response to contactin binding. Plays a role in mediating cell-cell contacts between Schwann cells and axons. Plays a role in the formation and maintenance of the nodes of Ranvier on myelinated axons. Nodes of Ranvier contain clustered sodium channels that are crucial for the saltatory propagation of action potentials along myelinated axons. During development, nodes of Ranvier are formed by the fusion of two heminodes. Required for normal clustering of sodium channels at heminodes; not required for the formation of mature nodes with normal sodium channel clusters. Required, together with GLDN, for maintaining NFASC and sodium channel clusters at mature nodes of Ranvier."	""	"TRUE"
"5110-84_3"	"SL009054"	"NRX1B"	"Neurexin-1-beta"	"2"	"49918505"	"51032561"	"NRXN1"	"9378"	"P58400"	""	""	""	""	""	""	""	"Neuronal cell surface protein that may be involved in cell recognition and cell adhesion by forming intracellular junctions through binding to neuroligins. May play a role in formation or maintenance of synaptic junctions. May mediate intracellular signaling. May play a role in angiogenesis (By similarity)."	""	"TRUE"
"5111-15_3"	"SL008728"	"NRX3B"	"Neurexin-3-beta"	"14"	"78242391"	"79868290"	"NRXN3"	"9369"	"Q9HDB5"	""	""	""	""	""	""	""	"Neuronal cell surface protein that may be involved in cell recognition and cell adhesion. May play a role in angiogenesis (By similarity)."	""	"TRUE"
"5112-73_3"	"SL014268"	"OX2G"	"OX-2 membrane glycoprotein"	"3"	"112332347"	"112362812"	"CD200"	"4345"	"P41217"	""	""	""	"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	""	""	""	"Costimulates T-cell proliferation. May regulate myeloid cell activity in a variety of tissues."	"28"	"TRUE"
"5114-65_3"	"SL005212"	"Prolactin Receptor"	"Prolactin receptor"	"5"	"35048756"	"35230589"	"PRLR"	"5618"	"P16471"	"Adipogenesis|Ovarian Infertility Genes|Prolactin Signaling Pathway"	"ErbB4 signaling events|Signaling events mediated by PTP1B"	""	"Growth hormone receptor signaling|Prolactin receptor signaling"	"ProlactinR -> STAT signaling"	"fluoxymesterone"	""	"This is a receptor for the anterior pituitary hormone prolactin (PRL). Acts as a prosurvival factor for spermatozoa by inhibiting sperm capacitation through suppression of SRC kinase activation and stimulation of AKT. Isoform 4 is unable to transduce prolactin signaling. Isoform 6 is unable to transduce prolactin signaling."	""	"TRUE"
"5115-31_3"	"SL005213"	"RELT"	"Tumor necrosis factor receptor superfamily member 19L"	"11"	"73376264"	"73397474"	"RELT"	"84957"	"Q969Z4"	""	""	""	""	""	""	""	"Mediates activation of NF-kappa-B. May play a role in T-cell activation."	"258"	"TRUE"
"5116-62_2"	"SL007680"	"ROBO2"	"Roundabout homolog 2"	"3"	"75906695"	"77649964"	"ROBO2"	"6092"	"Q9HCK4"	""	""	""	"Regulation of Commissural axon pathfinding by Slit and Robo"	""	""	""	"Receptor for SLIT2, and probably SLIT1, which are thought to act as molecular guidance cue in cellular migration, including axonal navigation at the ventral midline of the neural tube and projection of axons to different regions during neuronal development."	""	"TRUE"
"5117-14_3"	"SL014148"	"ROBO3"	"Roundabout homolog 3"	"11"	"124865386"	"124881470"	"ROBO3"	"64221"	"Q96MS0"	""	""	""	"Regulation of Commissural axon pathfinding by Slit and Robo"	""	""	""	"Thought to be involved during neural development in axonal navigation at the ventral midline of the neural tube. In spinal chord development plays a role in guiding commissural axons probably by preventing premature sensitivity to Slit proteins thus inhibiting Slit signaling through ROBO1 (By similarity). Required for hindbrain axon midline crossing."	""	"TRUE"
"5118-74_2"	"SL008309"	"RTN4"	"Reticulon-4"	"2"	"54972187"	"55112621"	"RTN4"	"57142"	"Q9NQC3"	"Epithelium TarBase|Leukocyte TarBase|Lymphocyte TarBase|Muscle cell TarBase|Squamous cell  TarBase"	"p75(NTR)-mediated signaling"	""	"Axonal growth inhibition (RHOA activation)"	""	""	"diagnosis"	"Developmental neurite growth regulatory factor with a role as a negative regulator of axon-axon adhesion and growth, and as a facilitator of neurite branching. Regulates neurite fasciculation, branching and extension in the developing nervous system. Involved in down-regulation of growth, stabilization of wiring and restriction of plasticity in the adult CNS. Regulates the radial migration of cortical neurons via an RTN4R-LINGO1 containing receptor complex (By similarity). Isoform 2 reduces the anti-apoptotic activity of Bcl-xl and Bcl-2. This is likely consecutive to their change in subcellular location, from the mitochondria to the endoplasmic reticulum, after binding and sequestration. Isoform 2 and isoform 3 inhibit BACE1 activity and amyloid precursor protein processing."	""	"TRUE"
"5122-92_2"	"SL005214"	"Semaphorin-6A"	"Semaphorin-6A"	"5"	"116443616"	"116574934"	"SEMA6A"	"57556"	"Q9H2E6"	""	""	""	"Other semaphorin interactions"	""	""	""	"Cell surface receptor for PLXNA2 that plays an important role in cell-cell signaling. Required for normal granule cell migration in the developing cerebellum. Promotes reorganization of the actin cytoskeleton and plays an important role in axon guidance in the developing central nervous system. Can act as repulsive axon guidance cue. Has repulsive action towards migrating granular neurons. May play a role in channeling sympathetic axons into the sympathetic chains and controlling the temporal sequence of sympathetic target innervation (By similarity)."	""	"TRUE"
"5124-69_3"	"SL005169"	"sICAM-5"	"Intercellular adhesion molecule 5"	"19"	"10289981"	"10296778"	"ICAM5"	"7087"	"Q9UMF0"	""	""	""	""	""	""	""	"ICAM proteins are ligands for the leukocyte adhesion protein LFA-1 (integrin alpha-L/beta-2)."	"1|351"	"TRUE"
"5125-6_3"	"SL014292"	"SIG14"	"Sialic acid-binding Ig-like lectin 14"	"19"	"51642553"	"51646801"	"SIGLEC14"	"100049587"	"Q08ET2"	""	""	""	"DAP12 interactions"	""	""	"NA"	"Putative adhesion molecule. Sialic acid-binding paired receptor which may activate associated receptors."	"39|219|381"	"TRUE"
"5128-53_3"	"SL014228"	"SLAF6"	"SLAM family member 6"	"1"	"160485030"	"160523262"	"SLAMF6"	"114836"	"Q96DU3"	""	""	""	""	"Natural Killer Cell Activation through ITSM-Containing Receptors"	""	""	"Self-ligand receptor of the signaling lymphocytic activation molecule (SLAM) family. SLAM receptors triggered by homo- or heterotypic cell-cell interactions are modulating the activation and differentiation of a wide variety of immune cells and thus are involved in the regulation and interconnection of both innate and adaptive immune response. Activities are controlled by presence or absence of small cytoplasmic adapter proteins, SH2D1A/SAP and/or SH2D1B/EAT-2. Triggers cytolytic activity only in natural killer cells (NK) expressing high surface densities of natural cytotoxicity receptors (PubMed:11489943, PubMed:16920955). Positive signaling in NK cells implicates phosphorylation of VAV1. NK cell activation seems to depend on SH2D1B and not on SH2D1A (PubMed:16920955). In conjunction with SLAMF1 controls the transition between positive selection and the subsequent expansion and differentiation of the thymocytic natural killer T (NKT) cell lineage (By similarity). Promotes T-cell differentiation into a helper T-cell Th17 phenotype leading to increased IL-17 secretion; the costimulatory activity requires SH2D1A (PubMed:22184727, PubMed:16920955). Promotes recruitment of RORC to the IL-17 promoter (PubMed:22989874). In conjunction with SLAMF1 and CD84/SLAMF5 may be a negative regulator of the humoral immune response. In the absence of SH2D1A/SAP can transmit negative signals to CD4(+) T-cells and NKT cells. Negatively regulates germinal center formation by inhibiting T-cell:B-cell adhesion; the function probably implicates increased association with PTPN6/SHP-1 via ITSMs in absence of SH2D1A/SAP. However, reported to be involved in maintaining B-cell tolerance in germinal centers and in preventing autoimmunity (By similarity)."	""	"TRUE"
"5129-12_3"	"SL005221"	"SREC-I"	"Scavenger receptor class F member 1"	"17"	"1633858"	"1645789"	"SCARF1"	"8578"	"Q14162"	""	""	""	"Scavenging by Class F Receptors"	""	""	""	"Mediates the binding and degradation of acetylated low density lipoprotein (Ac-LDL). Mediates heterophilic interactions, suggesting a function as adhesion protein. Plays a role in the regulation of neurite-like outgrowth (By similarity)."	"128"	"TRUE"
"5130-67_3"	"SL005222"	"SREC-II"	"Scavenger receptor class F member 2"	"22"	"20424585"	"20437859"	"SCARF2"	"91179"	"Q96GP6"	""	""	""	""	""	""	""	"Probable adhesion protein, which mediates homophilic and heterophilic interactions. In contrast to SCARF1, it poorly mediates the binding and degradation of acetylated low density lipoprotein (Ac-LDL) (By similarity)."	""	"TRUE"
"5131-15_3"	"SL004863"	"TAJ"	"Tumor necrosis factor receptor superfamily member 19"	"13"	"23570370"	"23676104"	"TNFRSF19"	"55504"	"Q9NS68"	""	""	""	""	""	""	""	"Can mediate activation of JNK and NF-kappa-B. May promote caspase-independent cell death."	""	"TRUE"
"5132-71_3"	"SL005223"	"TCCR"	"Interleukin-27 receptor subunit alpha"	"19"	"14031748"	"14053216"	"IL27RA"	"9466"	"Q6UWB1"	""	"IL27-mediated signaling events"	""	""	"Th1 Cell Differentiation"	""	""	"Receptor for IL27. Requires IL6ST/gp130 to mediate signal transduction in response to IL27. This signaling system acts through STAT3 and STAT1. Involved in the regulation of Th1-type immune responses. Also appears to be involved in innate defense mechanisms."	"69"	"TRUE"
"5133-17_3"	"SL002078"	"TGF-b R II"	"TGF-beta receptor type-2"	"3"	"30606502"	"30694142"	"TGFBR2"	"7048"	"P37173"	"Adipocyte TarBase|Epithelium TarBase|Integrated Breast Cancer Pathway|Lymphocyte TarBase|MAPK signaling pathway|Muscle cell TarBase|Squamous cell  TarBase|TGF Beta Signaling Pathway|TGF beta Signaling Pathway"	"ALK1 signaling events|Beta3 integrin cell surface interactions|Glypican 1 network|Integrins in angiogenesis|TGF-beta receptor signaling"	""	"Downregulation of TGF-beta receptor signaling|SMAD2/3 MH2 Domain Mutants in Cancer|SMAD2/3 Phosphorylation Motif Mutants in Cancer|TGF-beta receptor signaling activates SMADs|TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)|TGFBR1 KD Mutants in Cancer|TGFBR1 LBD Mutants in Cancer|TGFBR2 Kinase Domain Mutants in Cancer|TGFBR2 MSI Frameshift Mutants in Cancer"	"Activation of Immunoglobulin Class-Switch Recombination|Cell Cycle|Regulatory T-cell Differentiation|TGFBR -> AP-1 signaling|TGFBR -> ATF/GADD/MAX/TP53 signaling|TGFBR -> CREB/ELK-SRF signaling|TGFBR -> MEF/MYOD/MYOG signaling|TGFBR -> SMAD1/5/9 signaling|TGFBR/BMPR -> SMAD2/3 signaling"	""	""	"Transmembrane serine/threonine kinase forming with the TGF-beta type I serine/threonine kinase receptor, TGFBR1, the non-promiscuous receptor for the TGF-beta cytokines TGFB1, TGFB2 and TGFB3. Transduces the TGFB1, TGFB2 and TGFB3 signal from the cell surface to the cytoplasm and is thus regulating a plethora of physiological and pathological processes including cell cycle arrest in epithelial and hematopoietic cells, control of mesenchymal cell proliferation and differentiation, wound healing, extracellular matrix production, immunosuppression and carcinogenesis. The formation of the receptor complex composed of 2 TGFBR1 and 2 TGFBR2 molecules symmetrically bound to the cytokine dimer results in the phosphorylation and the activation of TGFRB1 by the constitutively active TGFBR2. Activated TGFBR1 phosphorylates SMAD2 which dissociates from the receptor and interacts with SMAD4. The SMAD2-SMAD4 complex is subsequently translocated to the nucleus where it modulates the transcription of the TGF-beta-regulated genes. This constitutes the canonical SMAD-dependent TGF-beta signaling cascade. Also involved in non-canonical, SMAD-independent TGF-beta signaling pathways."	""	"TRUE"
